縣市,鄉_鎮_市_區,街_路段,火災案件編號,報案時間,到達時間,起火原因,死亡人數,受傷人數
桃園市,桃園區,長興二路67號,I17A01A2,106-01-01 00:04,106-01-01 00:16,其他-因燃燒雜草、垃圾,0,0
臺中市,西屯區,東海路,E17A01A1,106-01-01 00:14,106-01-01 00:25,電氣因素(不含車輛)-短路,0,0
新北市,三峽區,永安街,H17A01A1,106-01-01 00:16,106-01-01 00:18,其他,0,0
新竹縣,竹北市,#REF!,J17A01A1,106-01-01 00:23,106-01-01 00:30,遺留火種-其他-煙火殘骸,0,0
桃園市,大園區,中正東路一段,I17A01A1,106-01-01 00:33,106-01-01 00:42,燃放爆竹,0,0
花蓮縣,吉安鄉,中央路三段,U17A01A1,106-01-01 00:36,106-01-01 00:42,其他-因燃燒雜草、垃圾,0,0
臺中市,南屯區,三民西路,E17A01A2,106-01-01 00:52,106-01-01 00:59,其他-燃燒廢棄物,0,0
新北市,板橋區,館前西路,H17A01A2,106-01-01 00:54,106-01-01 01:02,電氣因素(不含車輛)-短路,0,0
新北市,鶯歌區,鳳三路,H17A01A3,106-01-01 00:55,106-01-01 00:58,其他-因燃燒雜草、垃圾,0,0
臺南市,永康區,和平路,G17A01B1,106-01-01 01:08,106-01-01 01:34,遺留火種-其他,0,0
雲林縣,褒忠鄉,馬鳴山廟旁,O17A01B1,106-01-01 01:34,106-01-01 01:42,其他-車輛電氣因素-電氣系統-電瓶,0,0
金門縣,金城鎮,民族路,X17A01B1,106-01-01 01:43,106-01-01 01:53,燃放爆竹,0,0
新北市,汐止區,連興街,H17A01B1,106-01-01 01:46,106-01-01 01:49,其他,0,0
臺中市,梧棲區,建國北街,E17A01B1,106-01-01 01:52,106-01-01 01:57,爐火烹調-乾燒,0,0
臺北市,大安區,和平東路3段,A17A01C1,106-01-01 02:08,106-01-01 02:14,瓦斯漏氣或爆炸-其他,0,0
臺北市,中山區,農安街,A17A01C2,106-01-01 02:10,106-01-01 02:13,爐火烹調,0,0
臺中市,西屯區,文華路,E17A01C2,106-01-01 02:25,106-01-01 02:37,電氣因素(不含車輛)-其他-除濕機,0,0
臺北市,萬華區,西昌街,A17A01D1,106-01-01 03:45,106-01-01 03:48,爐火烹調,0,0
新北市,五股區,成泰路3段,H17A01E1,106-01-01 04:02,106-01-01 04:11,其他-整地燃燒雜草,0,0
新北市,新莊區,龍安路,H17A01E2,106-01-01 04:28,106-01-01 04:33,電氣因素(不含車輛)-短路,0,0
新北市,樹林區,福順街,H17A01F1,106-01-01 05:59,106-01-01 06:03,其他,0,0
彰化縣,埤頭鄉,興工路,M17A01G2,106-01-01 06:54,106-01-01 07:00,其他-因燃燒雜草、垃圾,0,0
苗栗縣,卓蘭鎮,,K17A01H1,106-01-01 07:40,106-01-01 07:45,其他-因燃燒雜草、垃圾,0,0
臺中市,沙鹿區,興安路,E17A01I2,106-01-01 08:41,106-01-01 08:46,電氣因素(不含車輛)-短路,0,0
臺北市,內湖區, ,A17A01I1,106-01-01 08:52,106-01-01 08:59,值勤發現,0,0
新竹縣,尖石鄉,,J17A01J1,106-01-01 09:00,106-01-01 09:29,遺留火種-其他,0,0
高雄市,鳳山區,過埤路,B17A01J2,106-01-01 09:57,106-01-01 10:07,其他-因燃燒雜草、垃圾,0,0
