,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
101,108年01月01日 04時00分27秒,南投縣仁愛鄉台14甲線 4公里100.0公尺處向一般車道,死亡0;受傷1,普通重型-機車,121.145284,24.038678
162,108年01月01日 07時23分02秒,南投縣國姓鄉乾溝村136線45.5K,死亡0;受傷1,普通重型-機車,120.81216599999999,24.030523000000002
171,108年01月01日 07時33分16秒,南投縣南投市三和三路附近 / 南投縣南投市復興路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.68761,23.9053
184,108年01月01日 07時50分00秒,南投縣仁愛鄉台14甲線 15公里900.0公尺處,死亡0;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,121.179847,24.096244
238,108年01月01日 09時10分00秒,南投縣仁愛鄉台14甲線 8公里200.0公尺處,死亡0;受傷4,普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,121.15683100000001,24.047857999999998
246,108年01月01日 09時20分39秒,南投縣水里鄉台21線 74公里800.0公尺處南側向內側,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.875724,23.807736
250,108年01月01日 09時30分00秒,南投縣埔里鎮桃米路台21線49.9公里處,死亡0;受傷1,自用-小客車;普通重型-機車,120.937614,23.949064
261,108年01月01日 09時55分00秒,南投縣埔里鎮中山路二段口 / 南投縣埔里鎮北安路,死亡0;受傷1,普通重型-機車,120.971981,23.968729999999997
275,108年01月01日 10時18分54秒,南投縣埔里鎮台14線 64公里,死亡0;受傷1,自用-小客車;自用-小客車;乘客-人,121.03290600000001,23.994049
323,108年01月01日 11時15分58秒,南投縣水里鄉北埔村中山路一段口 / 南投縣水里鄉北埔村自由路一段口,死亡0;受傷1,自用-小客車;普通重型-機車,120.85043799999998,23.813357
329,108年01月01日 11時25分00秒,南投縣埔里鎮台14線 62公里500.0公尺處北側向中內,死亡0;受傷1,普通重型-機車;自用-小客車,121.02216399999999,23.989304
352,108年01月01日 12時00分00秒,南投縣草屯鎮山腳里虎山路638號前0.0公尺北側,死亡0;受傷1,普通重型-機車,120.68626100000002,23.965289000000002
362,108年01月01日 12時16分00秒,南投縣名間鄉彰南路、田寮巷口,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.69240400000001,23.880858
373,108年01月01日 12時21分00秒,南投縣草屯鎮草溪路口 / 南投縣草屯鎮民權西路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.67626899999999,23.963492000000002
386,108年01月01日 12時34分17秒,南投縣竹山鎮竹山里集山路三段南側 / 南投縣竹山鎮竹山里下橫街西側,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.68368600000001,23.757345
398,108年01月01日 12時50分00秒,南投縣南投市彰南路二段671號前,死亡0;受傷1,普通重型-機車;普通重型-機車,120.677477,23.921279000000002
545,108年01月01日 15時50分46秒,南投縣草屯鎮上林里草溪路與復興路口,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.673698,23.960573
550,108年01月01日 15時57分29秒,南投縣埔里鎮中正路口 / 南投縣埔里鎮仁愛路,死亡0;受傷2,普通重型-機車;普通輕型-機車;乘客-人,120.964475,23.968635
599,108年01月01日 17時20分00秒,南投縣南投市光華路與光華十路口,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,120.69368200000001,23.949858
616,108年01月01日 17時30分20秒,南投縣南投市彰南路三段8號,死亡0;受傷1,自用-小客車;普通重型-機車,120.676226,23.923992000000002
689,108年01月01日 18時46分52秒,南投縣草屯鎮新豐里中正路與成功路口,死亡0;受傷2,大型重型2(250-550C.C.)-機車;普通重型-機車;普通重型-機車,120.68715700000001,23.992817000000002
731,108年01月01日 19時35分59秒,南投縣埔里鎮恆吉巷與大城路口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.950088,23.973854
762,108年01月01日 20時25分12秒,南投縣草屯鎮上林里草溪路154-37號前0.0公尺,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.67230900000001,23.958631
786,108年01月01日 21時18分00秒,南投縣名間鄉濁水村名水路口 / 南投縣名間鄉濁水村名水路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.72295600000001,23.835065
922,108年01月02日 07時02分00秒,南投縣名間鄉車站路153號,死亡0;受傷1,普通重型-機車,120.704792,23.834674
948,108年01月02日 07時20分36秒,南投縣水里鄉民和村下城路口 / 南投縣水里鄉民和村下城路,死亡0;受傷1,普通重型-機車,120.91573600000001,23.798748
990,108年01月02日 07時45分00秒,南投縣南投市華陽路、復興路480巷口,死亡0;受傷1,普通重型-機車;租賃車-小客車,120.685153,23.916014999999998
1057,108年01月02日 08時10分10秒,南投縣南投市南崗二路503號,死亡0;受傷1,普通重型-機車,120.67579199999999,23.918526
1306,108年01月02日 11時30分00秒,南投縣南投市文昌街附近 / 南投縣南投市南陽路附近,死亡0;受傷2,普通重型-機車;普通重型-機車,120.690122,23.907611
1331,108年01月02日 11時43分33秒,南投縣南投市文獻路附近 / 南投縣南投市光明路附近,死亡0;受傷1,自用-小客車;自用-小客車,120.699402,23.938542
1500,108年01月02日 14時40分27秒,南投縣草屯鎮山腳里虎山路498之3號前0.0公尺附近,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.68728600000001,23.968529
