,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
45,108年01月08日 19時05分00秒,嘉義市西區慶安里博愛路1段 / 嘉義市西區慶安里北興街,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.441645,23.483992
225,108年02月07日 04時28分00秒,嘉義市東區興安里興安街前0.0公尺,死亡1;受傷0,普通重型-機車,120.449083,23.461578
292,108年02月19日 10時02分00秒,嘉義市東區盧厝里大雅路1段 / 嘉義市東區盧厝里大雅路1段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.4964,23.48174
370,108年03月08日 22時32分00秒,嘉義市西區磚󿾨里友忠路 / 嘉義市西區磚󿾨里大統路,死亡1;受傷1,自用-小客車;普通重型-機車,120.427364,23.46984
429,108年03月21日 09時26分00秒,嘉義市西區紅瓦里重慶一街432號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);電動自行車-慢車,120.4294,23.46122
510,108年04月07日 08時55分00秒,嘉義市東區安業里吳鳳南路110號前0.0公尺,死亡1;受傷0,自用-半聯結車;普通重型-機車,120.4546,23.46588
768,108年06月03日 15時16分00秒,嘉義市西區湖內里民生南路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.442741,23.455056
844,108年06月17日 04時28分00秒,嘉義市東區民族里民族路 / 嘉義市東區民族里吳鳳北路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.4536,23.47631
967,108年07月13日 02時40分00秒,嘉義市西區育英里民生南路 / 嘉義市西區育英里永安街,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.447234,23.470512
1253,108年09月14日 03時36分00秒,嘉義市西區保安里世賢路1段 / 嘉義市西區保安里八德路,死亡1;受傷0,自用-小客車;普通重型-機車,120.429939,23.491744
1277,108年09月17日 04時27分00秒,嘉義市西區文化里民族路 / 嘉義市西區文化里文化路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.449936,23.476252
1351,108年10月03日 14時30分00秒,嘉義市西區北新里2鄰世賢路一段1段420號前0.0公尺附近,死亡1;受傷0,普通輕型-機車,120.4508,23.49541
