,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
167,108年01月01日 07時30分00秒,嘉義縣番路鄉公田村阿里山公路46.6公里附近,死亡0;受傷1,普通重型-機車,120.643946,23.420406
222,108年01月01日 08時50分00秒,嘉義縣朴子市平和里平和路2-1號前,死亡0;受傷1,普通重型-機車,120.24618799999999,23.464565
224,108年01月01日 08時51分00秒,嘉義縣番路鄉縣130線 3公里,死亡0;受傷1,普通重型-機車;自用-小客車,120.640196,23.441563000000002
281,108年01月01日 10時26分00秒,嘉義縣布袋鎮東港里172線2公里900公尺處,死亡0;受傷1,普通重型-機車,120.184127,23.373847
290,108年01月01日 10時35分00秒,嘉義縣太保市過溝里北港路2段506號附16,死亡0;受傷1,普通重型-機車;自用-小客車,120.366325,23.501295000000002
303,108年01月01日 10時55分00秒,嘉義縣中埔鄉義仁村十字路2-10號前0.0公尺西側,死亡0;受傷2,普通重型-機車;普通重型-機車,120.530029,23.441605
396,108年01月01日 12時50分00秒,嘉義縣竹崎鄉竹崎村中華路53號前0.0公尺東側,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.54836599999999,23.520553
412,108年01月01日 13時15分00秒,嘉義縣阿里山鄉中山村台18線88.2KM處附近,死亡0;受傷1,普通重型-機車;大型重型2(250-550C.C.)-機車;遊覽車-大客車,120.77958600000001,23.488868
452,108年01月01日 14時00分35秒,嘉義縣中埔鄉龍門村產業道路(電桿編號:沄水24分25處下坡)附近,死亡0;受傷1,普通重型-機車,120.51336,23.424335
454,108年01月01日 14時03分00秒,嘉義縣民雄鄉東榮村文化路4之1號前,死亡0;受傷1,普通重型-機車;自用-小客車,120.428172,23.550558
469,108年01月01日 14時20分00秒,嘉義縣番路鄉台18線 52公里800.0公尺處,死亡0;受傷1,普通重型-機車,120.65161599999999,23.418147
800,108年01月01日 21時49分56秒,嘉義縣竹崎鄉紫雲村5鄰坑口9之20號前附近,死亡0;受傷1,自用-小客車;自用-小客車,120.541954,23.492871
907,108年01月02日 06時39分00秒,嘉義縣民雄鄉興中村江厝店54-1號前路口,死亡0;受傷1,普通重型-機車,120.42161599999999,23.524668
1001,108年01月02日 07時48分54秒,嘉義縣水上鄉水上村水德路與嘉朴公路路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.394173,23.434604
1013,108年01月02日 07時51分40秒,嘉義縣民雄鄉興南村工業3路2號,死亡0;受傷1,自用-小客車;普通重型-機車,120.43678799999999,23.519709
1019,108年01月02日 07時55分00秒,嘉義縣布袋鎮光復里光復路二段與信義街路口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.16108700000001,23.376815
1024,108年01月02日 07時57分00秒,嘉義縣民雄鄉北斗村中正路與嘉107線路口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.462356,23.52139
1144,108年01月02日 09時00分02秒,嘉義縣朴子市大葛里祥和三路西段附近 / 嘉義縣朴子市大葛里朴子三路附近,死亡0;受傷1,自用-小客車;普通重型-機車,120.28797800000001,23.455515
1221,108年01月02日 10時02分17秒,嘉義縣新港鄉月眉村166線26公里200公尺處,死亡0;受傷1,營業用-曳引車;普通重型-機車,120.35599199999999,23.523317000000002
1232,108年01月02日 10時10分52秒,嘉義縣大林鎮中坑里大埔美園區五路5號前對面車道(大埔美精機一期園區NO:189),死亡0;受傷1,營業用-大貨車;行人-人,120.512005,23.584284
1262,108年01月02日 10時47分12秒,嘉義縣朴子市大葛里產業道路（大葛里152之133號旁約50公尺十字路口）,死亡0;受傷1,自用-小客車;普通重型-機車,120.268965,23.459998000000002
1284,108年01月02日 11時10分04秒,嘉義縣番路鄉縣130線 5公里450.0公尺處西側向外側,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人,120.65630800000001,23.441868
1313,108年01月02日 11時31分13秒,嘉義縣朴子市順天里開元路232號前,死亡0;受傷1,自用-小客車;普通重型-機車,120.23782800000001,23.464757000000002
