,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
74,108年01月01日 02時00分00秒,基隆市中正區和一路2巷30-1號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,121.772774,25.157268
110,108年01月01日 04時40分00秒,基隆市信義區信一路 / 基隆市信義區義四路,死亡0;受傷1,自用-小客車;行人-人,121.74781999999999,25.12886
153,108年01月01日 07時10分00秒,基隆市安樂區樂利三街1號前0.0公尺,死亡0;受傷1,普通重型-機車;計程車-小客車,121.71963000000001,25.129176
424,108年01月01日 13時30分00秒,基隆市中山區中山二路 / 基隆市中山區健民街,死亡0;受傷1,普通重型-機車;自用-小客車,121.738882,25.146866
516,108年01月01日 15時20分00秒,基隆市中山區西定路304號前0.0公尺,死亡0;受傷1,計程車-小客車;普通重型-機車,121.73056000000001,25.138175
606,108年01月01日 17時24分00秒,基隆市暖暖區水源路24-1號前0.0公尺,死亡0;受傷1,普通重型-機車;行人-人,121.735225,25.101725
680,108年01月01日 18時37分00秒,基隆市仁愛區忠一路 / 基隆市仁愛區孝四路,死亡0;受傷2,普通重型-機車;行人-人;行人-人,121.739704,25.131664999999998
692,108年01月01日 18時50分00秒,基隆市中山區德安路 / 基隆市中山區復興路,死亡0;受傷1,普通重型-機車;自用-小客車,121.711797,25.159146
998,108年01月02日 07時48分00秒,基隆市仁愛區仁一路289號前0.0公尺,死亡0;受傷1,計程車-小客車;普通重型-機車,121.746696,25.128917
1084,108年01月02日 08時25分00秒,基隆市暖暖區八堵路八堵火車站圓環,死亡0;受傷1,普通重型-機車;自用-小客車,121.729054,25.108334
1088,108年01月02日 08時28分00秒,基隆市暖暖區源遠路 / 基隆市暖暖區水源路,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,121.733674,25.107196
1355,108年01月02日 11時59分00秒,基隆市中正區信七路 / 基隆市中正區義一路,死亡0;受傷1,自用-小客車;普通重型-機車,121.747836,25.136219
1502,108年01月02日 14時45分00秒,基隆市中山區中山二路 / 基隆市中山區健民街,死亡0;受傷1,普通重型-機車;自用-小客車,121.73891599999999,25.141451999999997
1526,108年01月02日 15時15分00秒,基隆市安樂區安樂路二段94號前0.0公尺,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.725022,25.122122
1695,108年01月02日 17時31分00秒,基隆市安樂區基金一路 / 基隆市安樂區基金一路,死亡0;受傷1,自用-小客車;普通重型-機車,121.709976,25.141901999999998
1707,108年01月02日 17時40分00秒,基隆市信義區東明路159號,死亡0;受傷1,普通重型-機車;自用-小客車,121.76029,25.127644
1724,108年01月02日 17時45分00秒,基隆市信義區崇法街64號前0.0公尺,死亡0;受傷1,普通重型-機車;行人-人,121.764948,25.129586
1778,108年01月02日 18時12分00秒,基隆市中山區安一路 / 基隆市中山區西定路,死亡0;受傷1,租賃車-小客車;行人-人,121.73541999999999,25.131626
1931,108年01月02日 19時50分00秒,基隆市中正區北寧路292號前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,121.79045900000001,25.141848
1943,108年01月02日 20時00分00秒,基隆市安樂區麥金路10號前0.0公尺,死亡0;受傷1,計程車-小客車;普通重型-機車,121.726514,25.116132
1988,108年01月02日 20時50分00秒,基隆市仁愛區南榮路123號前0.0公尺,死亡0;受傷1,計程車-小客車;普通重型-機車,121.74308899999998,25.125131
2047,108年01月02日 22時05分00秒,基隆市中山區西定路162號前0.0公尺,死亡0;受傷2,行人-人;普通重型-機車,121.734202,25.135103
2165,108年01月03日 06時35分00秒,基隆市安樂區安一路229號前0.0公尺,死亡0;受傷2,其他慢車-慢車;普通重型-機車,121.73115800000001,25.132575
2391,108年01月03日 09時10分00秒,基隆市七堵區明德二路 / 基隆市七堵區明德三路,死亡0;受傷1,自用-小客車;電動輔助自行車-慢車,121.703119,25.087746
2415,108年01月03日 09時35分00秒,基隆市仁愛區孝四路8-4號前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,121.738475,25.130606
2657,108年01月03日 14時25分00秒,基隆市中正區新豐街海中天社區前,死亡0;受傷1,自用-小客車;普通重型-機車,121.78451299999999,25.135045
2697,108年01月03日 15時10分00秒,基隆市仁愛區仁二路 / 基隆市仁愛區愛二路,死亡0;受傷1,普通重型-機車;計程車-小客車,121.742423,25.129738
2743,108年01月03日 16時15分00秒,基隆市中正區北寧路社寮橋頭,死亡0;受傷1,自用-小客車;普通重型-機車,121.775573,25.15044
2887,108年01月03日 18時10分00秒,基隆市暖暖區過港路 / 基隆市暖暖區寧靜街,死亡0;受傷1,自用-小客車;普通重型-機車,121.74076699999999,25.104307000000002
2975,108年01月03日 19時29分00秒,基隆市七堵區南興路 / 基隆市七堵區自治街,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人,121.712797,25.096674
2980,108年01月03日 19時45分00秒,基隆市安樂區基金一路35-5號,死亡0;受傷2,普通重型-機車;普通重型-機車,121.70926999999999,25.146235
3081,108年01月03日 22時27分00秒,基隆市七堵區自治街7號,死亡0;受傷2,普通重型-機車;普通重型-機車;自用-小客車,121.71311000000001,25.096323
3083,108年01月03日 22時30分00秒,基隆市安樂區樂利三街 / 基隆市安樂區麥金路,死亡0;受傷1,公營客運-大客車;行人-人,121.704955,25.139502
3154,108年01月04日 06時10分00秒,基隆市安樂區基金一路 / 基隆市安樂區武崙街,死亡0;受傷1,普通重型-機車;普通重型-機車,121.707132,25.14179
3176,108年01月04日 06時58分00秒,基隆市安樂區麥金路 / 基隆市安樂區麥金路,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);計程車-小客車,121.719282,25.125723999999998
3521,108年01月04日 11時10分00秒,基隆市暖暖區源遠路212號前0.0公尺,死亡0;受傷1,普通重型-機車;遊覽車-大客車,121.75099099999998,25.098243
