,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
23,108年01月01日 00時40分00秒,宜蘭縣宜蘭市崇聖街口北側 / 宜蘭縣宜蘭市舊城南路,死亡0;受傷2,行人-人;行人-人,121.755081,24.754043
37,108年01月01日 00時55分33秒,宜蘭縣南澳鄉台9丁線 121公里700.0公尺處南側向中外,死亡0;受傷1,自用-小客車;自用-小客車;乘客-人,121.832921,24.505477
41,108年01月01日 01時00分52秒,宜蘭縣宜蘭市中山路5段452號前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,121.759653,24.779284
76,108年01月01日 02時05分00秒,宜蘭縣宜蘭市中山路1段前0.0公尺東側,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.77041799999999,24.72093
146,108年01月01日 07時00分00秒,宜蘭縣羅東鎮民權路東側 / 宜蘭縣羅東鎮中興路,死亡0;受傷1,普通重型-機車;行人-人,121.767131,24.676196
175,108年01月01日 07時40分42秒,宜蘭縣冬山鄉191縣道路南側 / 宜蘭縣冬山鄉宜東路西側,死亡0;受傷2,普通重型-機車;普通重型-機車,121.804594,24.646451000000003
215,108年01月01日 08時37分00秒,宜蘭縣宜蘭市東園路南側 / 宜蘭縣宜蘭市和睦路西側,死亡0;受傷1,自用-小客車;普通重型-機車,121.759571,24.761039
234,108年01月01日 09時04分05秒,宜蘭縣頭城鎮開蘭路58號,死亡0;受傷1,自用-小客車;普通重型-機車,121.822677,24.856141
267,108年01月01日 10時05分00秒,宜蘭縣冬山鄉冬山路1段口 / 宜蘭縣冬山鄉照安路口,死亡0;受傷1,普通重型-機車,121.79850400000001,24.629562
297,108年01月01日 10時47分42秒,宜蘭縣宜蘭市民族路口 / 宜蘭縣宜蘭市健康路3段口,死亡0;受傷1,自用-小客車;普通重型-機車,121.749596,24.752453
333,108年01月01日 11時30分13秒,宜蘭縣宜蘭市舊城西路口 / 宜蘭縣宜蘭市城隍街口,死亡0;受傷1,普通重型-機車;自用-小客車,121.750028,24.759394
339,108年01月01日 11時35分00秒,宜蘭縣大同鄉英士村台7線前0.0公尺南側,死亡0;受傷1,自用-小客車;乘客-人,121.707578,24.721781
358,108年01月01日 12時05分00秒,宜蘭縣五結鄉五結路3段前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,121.790525,24.683542000000003
394,108年01月01日 12時45分27秒,宜蘭縣冬山鄉長春路272號前0.0公尺附近,死亡0;受傷1,普通重型-機車;自用-小客車;乘客-人,121.733825,24.690620000000003
437,108年01月01日 13時47分00秒,宜蘭縣礁溪鄉國道5號 30公里400.0公尺處北側向交流道,死亡0;受傷2,自用-小客車;自用-小客車;租賃車-小客車;乘客-人;乘客-人,121.78926499999999,24.826342999999998
441,108年01月01日 13時50分21秒,宜蘭縣冬山鄉太和村太和路133巷150弄40號,死亡0;受傷1,自用-小貨車(含客、貨兩用),121.77703799999999,24.631232
