,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
22,108年01月04日 13時39分32秒,屏東縣竹田鄉竹田鄉六巷村六巷三路與東西十一路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.511796,22.610478
79,108年01月13日 05時50分00秒,屏東縣枋寮鄉中山路與中華路口,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.596731,22.3819
108,108年01月17日 06時15分23秒,屏東縣枋寮鄉台17線 272公里700.0公尺處南側,死亡1;受傷0,租賃車-小客車,120.591008,22.391132
126,108年01月19日 18時50分00秒,屏東縣萬丹鄉上村村和平西路口 / 屏東縣萬丹鄉上村村大圳路口,死亡2;受傷0,普通重型-機車;自用-小客車;乘客-人,120.47633,22.593272
138,108年01月21日 21時49分00秒,屏東縣麟洛鄉中山路66號前,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.532602,22.644398
141,108年01月23日 07時30分00秒,屏東縣萬巒鄉成德村保安路11-6號前,死亡1;受傷0,普通重型-機車,120.614055,22.620445
161,108年01月25日 09時40分03秒,屏東縣新園鄉新園村新南路360號,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.454031,22.525527
170,108年01月25日 21時00分00秒,屏東縣屏東市和生路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.498315,22.655161
187,108年01月29日 14時59分43秒,屏東縣東港鎮興東里沿海路76號,死亡1;受傷0,腳踏自行車-慢車;營業用-大貨車,120.463033,22.465602
191,108年01月30日 13時05分00秒,屏東縣里港鄉中山南路口 / 屏東縣里港鄉里中路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.494226,22.773242
250,108年02月11日 19時17分30秒,屏東縣潮州鎮潮義路221號前,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.593324,22.539857
259,108年02月13日 14時00分00秒,屏東縣萬丹鄉萬生村萬壽路1段252號,死亡1;受傷1,普通重型-機車;普通重型-機車,120.496118,22.584727
262,108年02月14日 07時50分00秒,屏東縣屏東市忠孝路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.493146,22.69512
268,108年02月15日 01時16分00秒,屏東縣內埔鄉龍泉村中勝路255號前,死亡1;受傷0,普通重型-機車,120.602006,22.669341
283,108年02月18日 07時17分00秒,屏東縣鹽埔鄉台27線46公里處,死亡1;受傷0,普通重型-機車;自用-小客車,120.549453,22.740868
320,108年02月26日 17時34分00秒,屏東縣屏東市大春路附近 / 屏東縣屏東市大春路口,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.50143,22.624963
338,108年03月02日 18時50分00秒,屏東縣新埤鄉新華路與文化街,死亡1;受傷0,自用-小客車;行人-人,120.551175,22.46959
339,108年03月02日 20時30分00秒,屏東縣九如鄉東寧路209巷39號前,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.489949,22.731355
351,108年03月05日 13時21分00秒,屏東縣新埤鄉民眾路,死亡1;受傷0,普通重型-機車;動力機械-其他車,120.584174,22.468408
359,108年03月06日 12時45分00秒,屏東縣崁頂鄉社尾路17-52號,死亡1;受傷0,普通重型-機車,120.52253,22.504296
369,108年03月08日 17時40分00秒,屏東縣竹田鄉台一線與自強路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.545116,22.585409
372,108年03月09日 18時28分18秒,屏東縣內埔鄉隘寮村清涼路1段276號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,120.628017,22.694514
380,108年03月11日 16時52分00秒,屏東縣內埔鄉建興村大新路口 / 屏東縣內埔鄉建興村建興路口,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人,120.576342,22.661692
