,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
23,108年01月04日 16時09分00秒,彰化縣埤頭鄉大湖村中央路 / 彰化縣埤頭鄉大湖村公館路,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.448207,23.874717
25,108年01月04日 18時12分00秒,彰化縣和美鎮月眉里和港路 / 彰化縣和美鎮月眉里北辰路,死亡1;受傷0,拖車(架)-其他車;普通重型-機車,120.49126,24.12367
51,108年01月09日 23時26分00秒,彰化縣社頭鄉湳雅村山腳路3段679號前0.0公尺,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;其他人-人,120.602155,23.926323
66,108年01月11日 16時35分00秒,彰化縣芳苑鄉台17線 50公里600.0公尺處南側向外側,死亡1;受傷1,普通重型-機車;乘客-人,120.341811,23.96576
121,108年01月18日 13時00分00秒,彰化縣芳苑鄉三成村小西路前0.0公尺,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小客車;行人-人;乘客-人,120.31516,23.881973
127,108年01月19日 20時35分00秒,彰化縣溪湖鎮東寮里彰水路4段60號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.480065,23.966727
130,108年01月20日 11時45分00秒,彰化縣埔心鄉東門村中正路1段322號前0.0公尺前,死亡1;受傷1,行人-人;普通重型-機車,120.543464,23.951447
134,108年01月21日 11時09分00秒,彰化縣秀水鄉安東村彰水路1段340號前100.0公尺南側,死亡1;受傷1,普通重型-機車;行人-人,120.506099,24.042727
155,108年01月24日 12時15分00秒,彰化縣埔鹽鄉瓦󿾨村光明路2段167-4號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.469026,24.010443
179,108年01月27日 18時19分00秒,彰化縣芳苑鄉漢寶村大同路393弄28號前0.0公尺,死亡1;受傷0,普通重型-機車,120.361365,24.00351
204,108年02月01日 20時31分00秒,彰化縣芳苑鄉漢寶村草漢路漢寶段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.385886,24.008158
210,108年02月02日 19時33分00秒,彰化縣花壇鄉岩竹村環山路53號前0.0公尺前,死亡1;受傷1,行人-人;普通重型-機車,120.572977,24.054838
222,108年02月06日 14時40分00秒,彰化縣溪州鄉舊眉村溪斗路99號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.517228,23.853718
