,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
9,108年01月02日 18時01分00秒,新北市新店區新烏路3段310-1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.547207,24.896801
24,108年01月04日 17時45分00秒,新北市三重區環河北路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.490823,25.090759
27,108年01月05日 09時15分00秒,新北市三重區車路頭街139巷1弄前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.484635,25.076559
40,108年01月07日 22時53分00秒,新北市淡水區淡金路4段 / 新北市淡水區淡金路4段,死亡1;受傷1,普通重型-機車;普通重型-機車,121.453243,25.227272
52,108年01月09日 23時43分00秒,新北市瑞芳區四腳亭埔路 / 新北市瑞芳區臺62線道路,死亡1;受傷0,營業用-曳引車,121.778027,25.102557
67,108年01月11日 21時42分00秒,新北市泰山區泰林路 / 新北市泰山區新北大道,死亡1;受傷0,自用-小客車;普通重型-機車,121.429309,25.06335
69,108年01月12日 00時00分00秒,新北市板橋區民生路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.47145,25.020326
72,108年01月12日 13時05分00秒,新北市三峽區復興路120號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.372332,24.93799
73,108年01月12日 14時19分00秒,新北市新店區國道3號 29公里100.0公尺處南側向內側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人,121.539365,24.958751
75,108年01月12日 19時09分00秒,新北市土城區中央路4段213號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.413873,24.955711
96,108年01月15日 15時56分00秒,新北市板橋區板林路 / 新北市板橋區滿平街,死亡1;受傷1,普通輕型-機車;行人-人,121.42639,24.990655
97,108年01月15日 17時00分00秒,新北市蘆洲區長榮路 / 新北市蘆洲區永康街,死亡1;受傷1,普通重型-機車;普通重型-機車,121.46377,25.082184
106,108年01月16日 22時46分00秒,新北市淡水區民權路 / 新北市淡水區民權路,死亡1;受傷1,計程車-小客車;普通重型-機車,121.459237,25.133559
109,108年01月17日 08時59分00秒,新北市板橋區光環路1段 / 新北市板橋區光中路,死亡1;受傷0,自用-小客車;行人-人,121.483964,25.017654
114,108年01月17日 20時23分00秒,新北市板橋區環河西路5段 / 新北市板橋區板城路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.485541,25.022253
140,108年01月22日 05時43分00秒,新北市三重區重新路4段 / 新北市三重區集美街,死亡1;受傷0,自用-小客車;行人-人,121.487227,25.057126
148,108年01月23日 19時48分00秒,新北市蘆洲區捷運機廠門口附近,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,121.457156,25.091173
160,108年01月25日 07時49分00秒,新北市鶯歌區堤外道路前0.0公尺,死亡1;受傷2,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,121.35,24.95
178,108年01月27日 11時07分00秒,新北市板橋區華江三路 / 新北市板橋區華江五路,死亡1;受傷0,營業用-半聯結車;普通重型-機車,121.468175,25.02318
208,108年02月02日 09時54分00秒,新北市新莊區中正路 / 新北市新莊區龍安路,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人,121.452619,25.036297
235,108年02月09日 11時59分00秒,新北市八里區龍米路2段96號前0.0公尺,死亡1;受傷5,人力車-慢車;電動輔助自行車-慢車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.445068,25.148
245,108年02月11日 05時39分00秒,新北市新莊區重新堤外道路 / 新北市新莊區21號越堤道,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.453971,25.033547
256,108年02月13日 03時15分00秒,新北市新莊區環漢路516號前0.0公尺,死亡1;受傷0,普通重型-機車,121.438442,25.015854
272,108年02月15日 12時55分00秒,新北市坪林區北宜公路前0.0公尺,死亡1;受傷0,普通重型-機車,121.720231,24.901738
325,108年02月26日 22時08分00秒,新北市中和區南山路170號前0.0公尺,死亡1;受傷0,民營公車-大客車;行人-人,121.50474,24.991492
329,108年02月27日 17時14分00秒,新北市貢寮區臺2丙線道路前0.0公尺,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,121.930245,24.997886
330,108年02月27日 18時01分00秒,新北市新店區安康路2段 / 新北市新店區安康路2段,死亡1;受傷0,自用大客車-大客車;普通重型-機車,121.506247,24.957972
331,108年02月27日 18時10分00秒,新北市樹林區八德街232號前0.0公尺,死亡1;受傷0,自用-小客車;動力機械-其他車,121.413162,24.970847
364,108年03月07日 18時45分00秒,新北市泰山區大科一路219號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.432627,25.061234
