,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
46,108年01月01日 01時08分17秒,新竹市北區中山路東側 / 新竹市北區崧嶺路,死亡0;受傷1,普通重型-機車;自用-小客車,120.95608899999999,24.797705999999998
52,108年01月01日 01時23分00秒,新竹市東區中華路1段227號東側,死亡0;受傷2,普通重型-機車;乘客-人,120.990879,24.813648
164,108年01月01日 07時26分00秒,新竹市北區西門街286巷口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.959503,24.798952
211,108年01月01日 08時30分24秒,新竹市東區力行一路12號(力晶P1廠前),死亡0;受傷1,普通重型-機車;普通重型-機車,121.017357,24.769085999999998
223,108年01月01日 08時51分00秒,新竹市東區三民路口 / 新竹市東區民生路口,死亡0;受傷2,普通重型-機車;行人-人,120.977635,24.809412
284,108年01月01日 10時28分28秒,新竹市北區經國路二段口 / 新竹市北區延平路一段口,死亡0;受傷1,行人-人;自用-小客車,120.955477,24.804788000000002
350,108年01月01日 11時52分00秒,新竹市東區南大路600巷口,死亡0;受傷1,自用-小客車;行人-人,120.96351299999999,24.793720999999998
351,108年01月01日 11時53分30秒,新竹市東區東門圓環,死亡0;受傷1,自用-小客車;普通重型-機車,120.97053000000001,24.804461
557,108年01月01日 16時04分00秒,新竹市香山區西濱路美山路附近,死亡0;受傷1,普通重型-機車;自用-小客車,120.914677,24.778726000000002
609,108年01月01日 17時26分00秒,新竹市東區光復路一段360號,死亡0;受傷1,普通重型-機車;自用-小客車,121.01736100000001,24.783503
648,108年01月01日 18時09分00秒,新竹市北區竹文街81號,死亡0;受傷1,普通重型-機車,120.958352,24.814507
650,108年01月01日 18時10分25秒,新竹市東區光復路一段北上匝道,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.006745,24.789402
686,108年01月01日 18時43分00秒,新竹市東區工研院,死亡0;受傷1,普通重型-機車,120.98796100000001,24.80036
