,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
35,108年01月06日 19時10分21秒,新竹縣竹東鎮中豐路3段307號,死亡1;受傷0,行人-人;自用-小客車,121.079359,24.724161
80,108年01月13日 11時40分45秒,新竹縣寶山鄉科環路段,死亡1;受傷0,腳踏自行車-慢車,121.008339,24.765243
111,108年01月17日 11時47分00秒,新竹縣竹北市華興街與華興街357巷口,死亡1;受傷1,普通重型-機車;乘客-人;自用-小客車,120.998813,24.836371
229,108年02月07日 17時42分00秒,新竹縣芎林鄉永興村富林路一段518號旁22公尺處,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,121.108572,24.74167
258,108年02月13日 10時35分39秒,新竹縣橫山鄉新竹縣橫山鄉油羅溪橋北端,死亡1;受傷0,普通重型-機車;自用-小客車,121.124047,24.722544
270,108年02月15日 08時07分00秒,新竹縣竹北市縣政二路與福興路口,死亡1;受傷1,普通重型-機車;自用-小客車,121.013328,24.821404
295,108年02月20日 05時05分00秒,新竹縣新埔鎮義民路3段506巷口,死亡1;受傷1,行人-人;普通重型-機車,121.032902,24.844777
323,108年02月26日 20時07分00秒,新竹縣竹北市東興路一段300號,死亡1;受傷0,營業用-曳引車;大型重型2(250-550C.C.)-機車,121.032699,24.816833
346,108年03月04日 04時18分00秒,新竹縣湖口鄉長嶺路863巷前0.0公尺附近,死亡1;受傷1,行人-人;普通重型-機車,121.088251,24.893668
445,108年03月24日 07時10分00秒,新竹縣湖口鄉台1線 58公里800.0公尺處北側,死亡1;受傷0,普通重型-機車,121.043824,24.87791
460,108年03月28日 08時49分03秒,新竹縣竹東鎮中興路4段645號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),121.038,24.776927
509,108年04月07日 04時30分40秒,新竹縣關西鎮國道3號 84公里600.0公尺處南側向中內,死亡1;受傷6,營業用-曳引車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,121.147611,24.806705
562,108年04月18日 19時12分00秒,新竹縣湖口鄉東楊路196巷前0.0公尺口,死亡1;受傷0,電動自行車-慢車,121.058438,24.914417
665,108年05月11日 14時30分00秒,新竹縣新埔鎮照門里竹115線27.3公里北上機車道,死亡1;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.100637,24.842973
674,108年05月14日 13時29分12秒,新竹縣新埔鎮新關路五埔段1290號,死亡1;受傷0,普通重型-機車;自用-小客車,121.089672,24.823952
700,108年05月18日 17時30分56秒,新竹縣關西鎮臺三線63.1k新城高幹67號對面,死亡1;受傷4,自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人,121.1626,24.738322
723,108年05月24日 13時46分40秒,新竹縣湖口鄉山葉路口 / 新竹縣湖口鄉和興路,死亡1;受傷0,自用-小客車;普通重型-機車,121.053696,24.919995
749,108年05月29日 13時10分46秒,新竹縣芎林鄉文山路749號前,死亡1;受傷0,普通重型-機車;遊覽車-大客車,121.07559,24.782879
750,108年05月29日 16時38分00秒,新竹縣竹北市中華路658號前,死亡1;受傷1,自用-小客車;普通重型-機車;電動自行車-慢車,121.005446,24.846843
771,108年06月04日 04時09分00秒,新竹縣湖口鄉國道1號 75公里600.0公尺處北側向內側,死亡1;受傷7,營業用-半聯結車;租賃車-小客車;租賃車-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.095043,24.888017
775,108年06月04日 18時14分58秒,新竹縣竹東鎮柯湖路三段路燈桿編號23207,死亡1;受傷0,普通重型-機車,121.034668,24.760666
796,108年06月08日 17時50分30秒,新竹縣五峰鄉羅平道路1公里處,死亡1;受傷0,普通重型-機車,121.128047,24.620541
999,108年07月19日 20時00分00秒,新竹縣橫山鄉中豐路一段與橫山街二段69巷巷口,死亡1;受傷0,普通重型-機車,121.120884,24.717718
1010,108年07月22日 09時25分00秒,新竹縣竹北市新泰路42-1號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.007014,24.841121
1065,108年08月03日 00時13分38秒,新竹縣湖口鄉中華路附近 / 新竹縣湖口鄉仁德路,死亡1;受傷0,行人-人;自用-小客車,121.009059,24.871071
1090,108年08月08日 23時30分00秒,新竹縣竹北市國道1號 90公里500.0公尺處南側向中線,死亡1;受傷4,營業用-大貨車;民營客運-大客車;民營客運-大客車;民營客運-大客車;乘客-人;乘客-人;乘客-人;乘客-人,121.019585,24.827696
1093,108年08月09日 15時46分00秒,新竹縣竹北市中華路1150巷85弄,死亡1;受傷0,普通重型-機車;自用-小客車,121.003449,24.854865
