,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
5,108年01月02日 01時52分00秒,桃園市中壢區中山東路3段口 / 桃園市中壢區龍慈路口,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,121.248605,24.944058
17,108年01月04日 05時52分54秒,桃園市中壢區中堅里中山東路3段401號前0.0公尺東側,死亡1;受傷0,自用-小客車;行人-人,121.252581,24.939473
19,108年01月04日 07時45分00秒,桃園市龍潭區竹龍路268號前0.0公尺北側,死亡1;受傷0,自用-小客車;普通重型-機車;普通重型-機車,121.200483,24.866642
34,108年01月06日 15時33分00秒,桃園市蘆竹區南崁路2段口 / 桃園市蘆竹區南工路口,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.277834,25.057476
38,108年01月07日 13時27分00秒,桃園市蘆竹區國道1號 50公里700.0公尺處南側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);遊覽車-大客車,121.28996,25.032446
47,108年01月09日 07時00分00秒,桃園市楊梅區中山南路口 / 桃園市楊梅區中山南路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.116293,24.897898
54,108年01月10日 08時14分00秒,桃園市桃園區中山路609號前0.0公尺北側,死亡1;受傷0,普通重型-機車;營業用-全聯結車;民營公車-大客車,121.294426,24.990906
56,108年01月10日 13時20分00秒,桃園市大園區環區西路545號號前0.0公尺附近,死亡1;受傷0,普通輕型-機車,121.193945,25.049263
82,108年01月13日 16時04分00秒,桃園市新屋區東興路2段1788號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.034688,25.014291
102,108年01月16日 12時15分00秒,桃園市平鎮區台66線 19公里西側向中內,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.205057,24.928902
104,108年01月16日 19時12分08秒,桃園市大溪區瑞安路2段口 / 桃園市大溪區瑞安路2段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,121.281663,24.872455
117,108年01月18日 07時54分00秒,桃園市大溪區復興路1段口 / 桃園市大溪區頭寮一路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.288603,24.841551
132,108年01月20日 19時33分00秒,桃園市平鎮區建明路1段269巷前0.0公尺口,死亡1;受傷1,普通重型-機車;行人-人,121.238561,24.9174
