,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
753,108年01月01日 20時12分00秒,澎湖縣馬公市縣204線 2公里480.0公尺處東側向外側,死亡0;受傷1,普通重型-機車;普通重型-機車,119.601547,23.557933
783,108年01月01日 21時09分00秒,澎湖縣馬公市案山里27之3號前岔路口,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,119.579753,23.55801
1576,108年01月02日 16時09分00秒,澎湖縣馬公市東文里民富街口 / 澎湖縣馬公市東文里民富街口,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,119.58265,23.562032000000002
2196,108年01月03日 07時21分00秒,澎湖縣馬公市案山里25之3號後方道路,死亡0;受傷1,自用-小客車,119.58156100000001,23.558107
2705,108年01月03日 15時20分00秒,澎湖縣馬公市長安里中正路口 / 澎湖縣馬公市長安里中興路口,死亡0;受傷2,普通重型-機車;普通重型-機車,119.565491,23.566991
3403,108年01月04日 09時10分00秒,澎湖縣湖西鄉縣204線 6公里600.0公尺處北側向外側,死亡0;受傷1,普通重型-機車;自用-小客車,119.634546,23.560601000000002
3811,108年01月04日 16時38分00秒,澎湖縣馬公市西衛里光復路316號前0.0公尺北側,死亡0;受傷1,普通重型-機車;普通重型-機車,119.577514,23.578052
3932,108年01月04日 17時47分00秒,澎湖縣馬公市東文里新店路口 / 澎湖縣馬公市東文里文學路口,死亡0;受傷3,普通輕型-機車;普通重型-機車;乘客-人,119.582393,23.563089
4011,108年01月04日 18時29分00秒,澎湖縣白沙鄉縣203線 11公里400.0公尺處北側,死亡0;受傷1,普通重型-機車,119.60191,23.62891
4383,108年01月05日 08時13分00秒,澎湖縣馬公市案山里27之3號前岔路口,死亡0;受傷2,普通重型-機車;普通重型-機車,119.57976200000002,23.558035
4758,108年01月05日 14時40分00秒,澎湖縣湖西鄉縣202線 7公里800.0公尺處東側向外側,死亡0;受傷3,腳踏自行車-慢車;普通重型-機車;乘客-人,119.663028,23.584481
4767,108年01月05日 14時48分00秒,澎湖縣馬公市縣204線 2公里280.0公尺處西側向內側,死亡0;受傷1,普通重型-機車;自用-小客車,119.60066499999999,23.558410000000002
5268,108年01月06日 08時00分00秒,澎湖縣馬公市陽明里中華路200巷10號前0.0公尺東側,死亡0;受傷1,普通重型-機車;普通重型-機車,119.575402,23.570834
6814,108年01月07日 20時49分00秒,澎湖縣馬公市西文里8之1號前道路,死亡0;受傷1,普通重型-機車;自用-小客車,119.583747,23.565011
7242,108年01月08日 10時47分00秒,澎湖縣馬公市縣201線 7公里600.0公尺處西側向外側,死亡0;受傷1,普通重型-機車,119.564407,23.528236
