,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
4,108年01月01日 22時16分00秒,臺中市新社區協中里協中街前0.0公尺,死亡1;受傷0,普通重型-機車,120.800091,24.199221
32,108年01月06日 14時02分00秒,臺中市南屯區新生里環中路三段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車;乘客-人,120.623173,24.150062
62,108年01月11日 09時36分00秒,臺中市北屯區松竹里崇德路二段321號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.686063,24.178273
65,108年01月11日 15時59分00秒,臺中市清水區下湳里014鄰中山路446之08號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.582754,24.283085
71,108年01月12日 12時26分00秒,臺中市太平區宜佳里新平路二段125巷14號前0.0公尺,死亡1;受傷0,動力機械-其他車;其他人-人,120.714284,24.138817
76,108年01月12日 19時13分55秒,臺中市神岡區國道1號 168公里500.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,120.689749,24.244086
91,108年01月14日 09時10分00秒,臺中市梧棲區永寧里永興路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.542404,24.226379
99,108年01月15日 21時34分00秒,臺中市西屯區何仁里文心路三段119號前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,120.655145,24.168831
100,108年01月16日 05時18分00秒,臺中市大里區大里里大里路432號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,120.67529,24.09779
101,108年01月16日 05時30分00秒,臺中市大安區中庄里南安路88號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-全聯結車,120.581465,24.350113
105,108年01月16日 20時15分00秒,臺中市豐原區豐田里豐原大道三段286巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.728986,24.237926
107,108年01月17日 05時43分00秒,臺中市西區藍興里三民路一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.668893,24.132052
113,108年01月17日 19時27分00秒,臺中市后里區公館里三豐路五段716巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.73214,24.341434
129,108年01月20日 05時53分00秒,臺中市西區忠明里臺灣大道前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.663759,24.154618
133,108年01月21日 07時33分00秒,臺中市南屯區中和里南光路前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車;自用-小貨車(含客、貨兩用),120.625239,24.115308
143,108年01月23日 14時55分00秒,臺中市潭子區福仁里中山路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.703441,24.200853
149,108年01月23日 22時50分00秒,臺中市大里區大元里環中東路七段前0.0公尺,死亡3;受傷3,自用-小貨車(含客、貨兩用);計程車-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.687623,24.094668
150,108年01月24日 02時14分00秒,臺中市西屯區何南里臺灣大道二段825號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.652594,24.160774
166,108年01月25日 14時56分27秒,臺中市外埔區國道3號 167公里700.0公尺處南側向內側,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車,120.648534,24.339139
190,108年01月30日 07時33分00秒,臺中市太平區平安里鵬儀路214巷6弄前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.726221,24.119554
192,108年01月30日 16時10分00秒,臺中市大安區中庄里中山南路前0.0公尺,死亡1;受傷0,普通重型-機車,120.584951,24.355971
206,108年02月02日 04時02分00秒,臺中市大里區永隆里國光路二段333號前0.0公尺,死亡2;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;計程車-小客車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車;租賃車-小客車,120.680036,24.107814
209,108年02月02日 15時20分00秒,臺中市大甲區西岐里順帆路40巷2號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.63635,24.41045
216,108年02月04日 21時50分00秒,臺中市西屯區上德里臺灣大道三段前0.0公尺,死亡1;受傷2,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人,120.64144,24.167598
221,108年02月05日 20時57分00秒,臺中市北區新興里公園路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.684447,24.142294
234,108年02月09日 09時12分00秒,臺中市北屯區大坑里東山路二段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.758508,24.200103
242,108年02月10日 19時40分00秒,臺中市大安區龜殼里西濱公路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.585404,24.362147
244,108年02月11日 05時00分41秒,臺中市南屯區國道1號 184公里500.0公尺處北側向外側,死亡1;受傷0,其他人-人;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-大貨車;自用-小客車;營業用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,120.617829,24.138835
260,108年02月13日 19時05分00秒,臺中市西屯區潮洋里臺灣大道三段前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車;民營公車-大客車,120.636791,24.17074
264,108年02月14日 08時54分00秒,臺中市沙鹿區西勢里中清路七段357號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.583267,24.249979
271,108年02月15日 08時28分00秒,臺中市北屯區松強里松竹路二段300-1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.693169,24.182972
290,108年02月19日 06時09分00秒,臺中市大肚區蔗廍里向上路五段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.5827,24.172598
316,108年02月25日 15時00分00秒,臺中市烏日區烏日里新興路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.621852,24.105086
327,108年02月27日 08時00分00秒,臺中市新社區永源里東山街88-65號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.795886,24.215348
349,108年03月04日 16時20分00秒,臺中市大肚區頂街里沙田路三段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.543083,24.163028
397,108年03月15日 11時20分00秒,臺中市潭子區東寶里雅潭路三段7-5號前0.0公尺,死亡1;受傷0,電動自行車-慢車,120.68168,24.215865
417,108年03月18日 03時13分00秒,臺中市南屯區國道1號 182公里100.0公尺處南側向交流道,死亡1;受傷1,自用-小客車;乘客-人,120.617829,24.138835
419,108年03月18日 14時37分00秒,臺中市北屯區平德里文心路四段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.6834,24.1723
422,108年03月19日 17時39分00秒,臺中市外埔區大東里甲后路五段308號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,120.634948,24.34432
428,108年03月21日 07時42分00秒,臺中市東勢區北興里豐勢路596號前0.0公尺,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.826403,24.260268
432,108年03月21日 14時33分00秒,臺中市潭子區栗林里中山路三段287巷9弄96號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.702845,24.226732
446,108年03月24日 16時17分00秒,臺中市南屯區鎮平里環中路四段前0.0公尺,死亡1;受傷0,普通重型-機車,120.624252,24.134138
447,108年03月24日 16時54分00秒,臺中市大里區瑞城里中興路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.69706,24.084376
455,108年03月27日 13時10分00秒,臺中市大甲區頂店里經國路1692號前0.0公尺,死亡1;受傷0,普通重型-機車,120.643531,24.368922
458,108年03月27日 18時45分00秒,臺中市沙鹿區竹林里三民路73號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.570073,24.24027
464,108年03月29日 02時50分00秒,臺中市霧峰區南柳里台74線快速公路前0.0公尺,死亡1;受傷1,自用-小客車;營業用-大貨車;乘客-人,120.688286,24.059133
475,108年03月30日 19時47分00秒,臺中市豐原區鎌村里鎌村路107巷160弄49號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.730008,24.232896
476,108年03月31日 03時00分00秒,臺中市西區忠明里忠明南路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.659166,24.156461
496,108年04月04日 16時25分00秒,臺中市清水區下湳里福圳街一段前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.593878,24.28907
507,108年04月06日 11時33分00秒,臺中市烏日區溪壩里溪南路一段前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車,120.644165,24.085898
522,108年04月09日 07時40分00秒,臺中市大里區日新里日新路前0.0公尺,死亡1;受傷0,普通重型-機車;腳踏自行車-慢車,120.692505,24.118961
533,108年04月11日 07時52分00秒,臺中市潭子區聚興里豐興路一段3號前0.0公尺,死亡1;受傷0,自用-小客車,120.71773,24.190945
537,108年04月12日 05時50分00秒,臺中市霧峰區吉峰里錦州路395巷前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車,120.705332,24.077422
554,108年04月17日 15時52分00秒,臺中市太平區新城里樹孝路274巷前0.0公尺,死亡1;受傷0,救護車-特種車;腳踏自行車-慢車,120.778337,24.153778
555,108年04月17日 17時17分00秒,臺中市西屯區港尾里中科路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車,120.656455,24.190036
558,108年04月18日 00時10分56秒,臺中市西屯區國道1號 177公里500.0公尺處南側向內側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.636473,24.186283
564,108年04月19日 09時10分00秒,臺中市大甲區德化里賢仁路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.623309,24.361534
571,108年04月20日 10時53分00秒,臺中市太平區黃竹里竹村路前0.0公尺,死亡1;受傷0,普通重型-機車,120.759104,24.079231
574,108年04月21日 04時24分00秒,臺中市南屯區鎮平里台74線快速公路前0.0公尺,死亡1;受傷0,自用-小客車,120.618659,24.12001
596,108年04月25日 17時06分11秒,臺中市西屯區東大路L24路燈附近,死亡1;受傷1,普通重型-機車;普通重型-機車;乘客-人,120.610751,24.202807
622,108年04月30日 19時41分00秒,臺中市西屯區福聯里東大路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.602743,24.184341
633,108年05月03日 06時13分00秒,臺中市北屯區水湳里大連西路40號前0.0公尺,死亡1;受傷0,自用-小客車,120.669535,24.174411
639,108年05月04日 13時23分00秒,臺中市清水區東山里神清路9-22號前0.0公尺,死亡1;受傷0,普通重型-機車,120.635532,24.275508
641,108年05月04日 21時03分00秒,臺中市北區健行里忠明路前0.0公尺,死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.663263,24.162461
646,108年05月05日 21時25分00秒,臺中市大甲區奉化里經國路926號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;自用-小客車,120.621018,24.356125
649,108年05月08日 07時48分00秒,臺中市大里區東昇里內新街前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.692935,24.113371
650,108年05月08日 12時05分00秒,臺中市新社區華豐五街前0.0公尺,死亡1;受傷0,普通重型-機車,120.80696,24.217888
652,108年05月08日 16時05分00秒,臺中市大里區新仁里立仁路85號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.703605,24.107688
654,108年05月09日 04時10分00秒,臺中市西區昇平里忠明南路前0.0公尺,死亡1;受傷4,自用-小客車;計程車-小客車;乘客-人;乘客-人;乘客-人,120.657318,24.146766
657,108年05月09日 20時02分00秒,臺中市西屯區林厝里福雅路482巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.625633,24.198215
658,108年05月10日 09時16分00秒,臺中市南區崇倫里建國南路一段261號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.658636,24.125226
668,108年05月12日 13時35分00秒,臺中市烏日區溪壩里環中路八段375號前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-小貨車(含客、貨兩用);乘客-人,120.648138,24.081371
675,108年05月14日 16時10分00秒,臺中市南屯區永定里黎明路一段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;營業用-小貨車(含客、貨兩用);自用-小客車;營業用-小貨車(含客、貨兩用),120.634567,24.135752
690,108年05月17日 14時52分00秒,臺中市沙鹿區北勢里英才路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.570311,24.225481
691,108年05月17日 21時02分47秒,臺中市后里區后科路二段與圳寮路99巷口,死亡1;受傷0,自用-小客車;普通重型-機車,120.736903,24.311051
701,108年05月19日 02時00分00秒,臺中市西屯區何仁里文心路前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人,120.656032,24.169577
705,108年05月19日 17時30分00秒,臺中市大里區塗城里光正路247號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.715095,24.093503
709,108年05月20日 05時15分00秒,臺中市豐原區圓環南路前0.0公尺,死亡1;受傷0,普通重型-機車,120.7114,24.2462
719,108年05月24日 03時32分40秒,臺中市后里區國道1號 157公里600.0公尺處北側向內側,死亡1;受傷1,其他人-人;自用-小客車;自用-小客車,120.717764,24.33357
720,108年05月24日 08時25分00秒,臺中市北區育德里中清路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.67573,24.159217
722,108年05月24日 13時08分00秒,臺中市烏日區五光里五光路805巷前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.633568,24.098295
724,108年05月24日 14時31分00秒,臺中市大里區大里里大里路481巷2弄28號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.664265,24.096136
737,108年05月26日 21時22分00秒,臺中市神岡區神岡里中山路1584之3號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.656427,24.258801
742,108年05月27日 12時50分00秒,臺中市大甲區日南里工六路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.654554,24.397725
