,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
8,108年01月02日 11時33分08秒,臺南市安定區國道1號 311公里南側向交流道,死亡1;受傷0,營業用-半聯結車,120.24258,23.11736
13,108年01月03日 06時06分00秒,臺南市新化區全興里中山路882號,死亡1;受傷0,行人-人;遊覽車-大客車,120.290971,23.034979
37,108年01月07日 09時37分54秒,臺南市七股區南25-1 7公里附近向路肩,死亡1;受傷0,普通重型-機車,120.093853,23.193591
39,108年01月07日 17時20分18秒,臺南市新市區社內里新港社大道口 / 臺南市新市區社內里南科聯絡道口,死亡1;受傷0,自用-小客車;普通重型-機車,120.279948,23.067928
48,108年01月09日 07時14分08秒,臺南市仁德區文華路2段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.231237,22.944605
49,108年01月09日 17時05分00秒,臺南市麻豆區寮廍里市道176線寮子廍166-17號前0.0公尺口,死亡1;受傷0,自用-大貨車;營業用-大貨車,120.278326,23.189759
74,108年01月12日 14時40分00秒,臺南市安平區安北路口 / 臺南市安平區州平路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.144498,22.996091
81,108年01月13日 14時20分00秒,臺南市南化區台20線 48公里600.0公尺處西側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.530795,23.076731
89,108年01月14日 04時18分00秒,臺南市玉井區台3線 376公里300.0公尺處南側,死亡2;受傷1,自用-小客車;農耕用車(或機械)-其他車;乘客-人,120.480341,23.1045
90,108年01月14日 08時00分12秒,臺南市後壁區菁豐里區道南84線前0.0公尺口,死亡1;受傷0,普通重型-機車;自用-小客車,120.35643,23.382379
94,108年01月15日 08時30分34秒,臺南市白河區秀祐里市道172線前0.0公尺西側,死亡1;受傷0,自用-小客車;營業用-大貨車,120.395981,23.347046
123,108年01月19日 03時10分52秒,臺南市東區中華東路1段口 / 臺南市東區小東路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.234787,22.99834
142,108年01月23日 08時21分23秒,臺南市北區中華北路1段西側 / 臺南市北區安明路觀海橋北側,死亡2;受傷0,營業用-大貨車;普通輕型-機車;乘客-人,120.184769,23.011716
153,108年01月24日 10時27分00秒,臺南市新化區山脚里省道臺19甲線頂山腳53之20號前0.0公尺口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.309089,23.019013
159,108年01月25日 06時06分27秒,臺南市麻豆區海埔里市道171線大山腳1之12號前0.0公尺西側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.222126,23.19105
162,108年01月25日 10時54分00秒,臺南市北區和緯路1段口 / 臺南市北區旭日街,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.210433,23.010733
180,108年01月28日 05時26分28秒,臺南市南區中華西路1段23號前0.0公尺北側,死亡1;受傷1,普通重型-機車;乘客-人,120.183697,22.965656
197,108年01月31日 13時39分00秒,臺南市安南區安吉路3段南側 / 臺南市安南區安順庄大道附近,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.192401,23.075289
200,108年02月01日 07時35分00秒,臺南市將軍區台17線 151公里300.0公尺處口,死亡1;受傷1,普通重型-機車;自用-小客車,120.133897,23.199825
201,108年02月01日 07時59分00秒,臺南市六甲區甲東里市道165線前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.352935,23.24126
220,108年02月05日 19時42分00秒,臺南市東區北門路2段12號北側,死亡1;受傷2,行人-人;普通重型-機車;自用-小客車;乘客-人,120.212382,22.997745
226,108年02月07日 09時45分00秒,臺南市鹽水區台19線 110公里,死亡1;受傷0,普通重型-機車,120.212508,23.265264
231,108年02月08日 15時26分31秒,臺南市關廟區新埔里新埔二街72巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.336251,22.972925
266,108年02月14日 20時31分41秒,臺南市新化區豐榮里中山路693-10號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.297339,23.036084
277,108年02月16日 23時02分51秒,臺南市官田區渡拔里台84線27.66 公里處(西往東內側車道),死亡1;受傷1,大型重型2(250-550C.C.)-機車;自用-小客車;自用-小客車;乘客-人,120.360503,23.166083
278,108年02月17日 00時00分00秒,臺南市永康區中山南路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.241228,23.01901
282,108年02月17日 17時55分00秒,臺南市新化區太平里中正路990號前0.0公尺附近,死亡1;受傷3,自用-小客車;自用-小客車;自用-小客車;乘客-人,120.300917,23.050843
299,108年02月21日 06時20分00秒,臺南市玉井區台20線 35公里東側向路肩,死亡1;受傷0,自用-小客車,120.475709,23.111913
310,108年02月23日 19時04分02秒,臺南市六甲區二甲里中山路446號對面無名巷內市區道路電桿鳳營高幹37右3N1440FD63,死亡1;受傷0,普通重型-機車,120.343788,23.232552
311,108年02月24日 00時19分21秒,臺南市龍崎區縣182線 23公里700.0公尺處西側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.401159,22.94734
345,108年03月03日 15時20分45秒,臺南市左鎮區榮和里省道臺20線菜寮2號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車,120.382274,23.065046
355,108年03月06日 05時03分17秒,臺南市關廟區南雄路1段1010號前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.328961,22.956145
356,108年03月06日 09時05分00秒,臺南市北區東豐路口 / 臺南市北區東豐路,死亡1;受傷0,消防車-特種車;普通重型-機車,120.220721,23.002982
375,108年03月10日 21時13分21秒,臺南市下營區台19甲線 12公里400.0公尺處南側向路肩,死亡1;受傷0,普通重型-機車,120.271254,23.210114
403,108年03月16日 13時07分00秒,臺南市七股區南36 5公里520.0公尺處口,死亡1;受傷0,自用-小客車;普通重型-機車,120.168528,23.117253
405,108年03月16日 16時00分00秒,臺南市下營區西連里西連1號之21前路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.2566,23.208821
410,108年03月16日 22時13分27秒,臺南市歸仁區大廟里南丁路712號,死亡1;受傷0,普通重型-機車,120.278055,22.991368
414,108年03月17日 15時25分00秒,臺南市善化區胡厝里區道南128-1線百二甲2之8號前0.0公尺,死亡1;受傷0,普通重型-機車,120.273582,23.140789
437,108年03月22日 13時50分21秒,臺南市麻豆區南勢里市道176線口 / 臺南市麻豆區南勢里區道南61線口,死亡1;受傷0,普通重型-機車;民營公車-大客車,120.261984,23.19185
462,108年03月28日 12時20分00秒,臺南市安南區海尾路192號東側,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;行人-人,120.187069,23.03802
467,108年03月29日 15時05分45秒,臺南市西港區縣173線 11公里西側,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.185927,23.11485
480,108年03月31日 18時14分00秒,臺南市新化區南170 1.8公里,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-小貨車(含客、貨兩用),120.29989,23.022685
486,108年04月01日 19時10分00秒,臺南市新化區山脚里省道臺19甲線口 / 臺南市新化區無名道路口,死亡1;受傷2,自用-小客車;農耕用車(或機械)-其他車;乘客-人,120.309322,23.01368
491,108年04月03日 03時26分00秒,臺南市白河區縣165線 10公里500.0公尺處北側向路肩,死亡1;受傷0,自用-小客車,120.427218,23.36825
521,108年04月09日 07時40分00秒,臺南市安南區安通路5段479號,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.191259,23.030082
528,108年04月10日 06時54分13秒,臺南市歸仁區民族路口 / 臺南市歸仁區保大路3段口,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.273583,22.996417
529,108年04月10日 07時19分20秒,臺南市西港區南海里南吉高幹6右29電線桿前未命名道路(西港王船地往西),死亡1;受傷0,普通輕型-機車;自用-小客車,120.20016,23.113606
534,108年04月11日 09時28分00秒,臺南市善化區昌隆里區道南129線口 / 臺南市善化區昌隆里東勢寮口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.320301,23.15324
542,108年04月13日 13時35分00秒,臺南市安南區府安堤頂道路 北向南 電桿(大豐高幹67號 處),死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,120.19893,23.022983
560,108年04月18日 08時45分02秒,臺南市仁德區文華路二段近保生東路,死亡1;受傷0,普通重型-機車,120.232598,22.950872
566,108年04月19日 12時25分00秒,臺南市新市區大營里省道臺1線口 / 臺南市新市區大營里大營口,死亡1;受傷3,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人;乘客-人,120.311544,23.094528
572,108年04月20日 18時42分43秒,臺南市新營區嘉芳里復興路855號南側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.286255,23.308635
584,108年04月23日 10時16分09秒,臺南市新化區護國里中山路127號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車,120.312738,23.041264
599,108年04月25日 22時05分00秒,臺南市南化區台3線 383公里700.0公尺處南側向內側,死亡1;受傷0,普通重型-機車,120.484851,23.047972
605,108年04月26日 21時12分26秒,臺南市關廟區五甲里南雄路1段902號附近,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,120.329944,22.953662
613,108年04月28日 20時17分00秒,臺南市安定區蘇林里市道178線蘇厝7-14號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.253545,23.125742
620,108年04月30日 06時24分49秒,臺南市東區崇明路口 / 臺南市東區生產路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.225721,22.964966
651,108年05月08日 12時53分02秒,臺南市北區和緯路5段西側 / 臺南市北區西賢街北側,死亡1;受傷0,普通重型-機車;自用-小客車,120.178845,23.005176
660,108年05月10日 19時22分07秒,臺南市安南區國道8號 西側向內側,死亡1;受傷0,自用-小客車;自用-小客車,120.195244,23.08045
661,108年05月10日 23時05分00秒,臺南市永康區王行東路車行高幹13號電桿前,死亡1;受傷0,自用-小客車,120.276855,23.054629
670,108年05月12日 17時50分00秒,臺南市安南區北安路4段665號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.214706,23.068737
672,108年05月13日 14時20分00秒,臺南市玉井區台3線 375公里600.0公尺處東側,死亡1;受傷1,普通重型-機車;大型重型1(550C.C.以上)-機車,120.47832,23.11002
687,108年05月17日 10時14分24秒,臺南市北區北門路3段口 / 臺南市北區長榮路5段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.216967,23.012774
689,108年05月17日 13時48分00秒,臺南市新化區全興里中山路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.290984,23.034954
708,108年05月20日 03時39分00秒,臺南市歸仁區中正北路3段16號附近,死亡1;受傷0,普通重型-機車,120.29245,22.989783
