,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
7,108年01月01日 00時20分00秒,臺東縣臺東市更生路西側 / 臺東縣臺東市博愛路,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.149258,22.757846
152,108年01月01日 07時10分00秒,臺東縣臺東市中山路西側 / 臺東縣臺東市正氣北路,死亡0;受傷1,自用-小客車;普通重型-機車,121.149819,22.75515
198,108年01月01日 08時10分00秒,臺東縣太麻里鄉泰和村大麻里街口 / 臺東縣太麻里鄉泰和村泰王路口,死亡0;受傷1,自用-小客車;普通重型-機車,121.003386,22.606582
216,108年01月01日 08時40分00秒,臺東縣太麻里鄉台9線 393公里800.0公尺處南側向外側,死亡0;受傷1,營業用-大貨車;普通重型-機車,121.043272,22.683878
219,108年01月01日 08時45分00秒,臺東縣關山鎮中福里10鄰信義路3號前0.0公尺西側,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.16328200000001,23.049445000000002
235,108年01月01日 09時06分00秒,臺東縣臺東市台11線 158公里500.0公尺處,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.179796,22.783173
356,108年01月01日 12時03分00秒,臺東縣臺東市中興路6段東側 / 臺東縣臺東市體中路南側,死亡0;受傷1,自用-小客車;普通重型-機車,121.06981,22.769520999999997
360,108年01月01日 12時15分00秒,臺東縣金峰鄉嘉蘭村嘉蘭路口 / 臺東縣金峰鄉嘉蘭村嘉蘭路口,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.960652,22.597925
366,108年01月01日 12時20分00秒,臺東縣臺東市新生路口 / 臺東縣臺東市博愛路口,死亡0;受傷1,電動自行車-慢車;計程車-小客車,121.146028,22.754394
367,108年01月01日 12時20分00秒,臺東縣臺東市寧波街38巷45號前0.0公尺,死亡0;受傷1,自用-小客車;電動自行車-慢車,121.14888,22.760077
461,108年01月01日 14時10分00秒,臺東縣臺東市南京路117號,死亡0;受傷1,普通重型-機車,121.14774399999999,22.758013000000002
465,108年01月01日 14時15分00秒,臺東縣臺東市更生北路東側 / 臺東縣臺東市更生北路南側,死亡0;受傷1,普通重型-機車;自用-小客車,121.112926,22.787406
507,108年01月01日 15時10分00秒,臺東縣卑南鄉賓朗路507號前0.0公尺南側,死亡0;受傷1,自用-小客車;行人-人,121.092053,22.808634
526,108年01月01日 15時30分00秒,臺東縣臺東市臨海路3段北側 / 臺東縣臺東市四川路1段,死亡0;受傷1,大型重型2(250-550C.C.)-機車;租賃車-小客車,121.120525,22.729387
732,108年01月01日 19時40分00秒,臺東縣臺東市中華大橋下往活水湖入口處,死亡0;受傷1,普通重型-機車,121.163393,22.764241000000002
744,108年01月01日 20時00分00秒,臺東縣臺東市寧波街8號前0.0公尺,死亡0;受傷1,普通重型-機車,121.147644,22.759642000000003
750,108年01月01日 20時05分30秒,臺東縣鹿野鄉台9線 340公里400.0公尺處,死亡0;受傷2,自用-小客車;乘客-人,121.139801,22.944415
764,108年01月01日 20時30分54秒,臺東縣關山鎮和平路41-1號,死亡0;受傷1,普通重型-機車;自用-小客車,121.166005,23.053226000000002
832,108年01月01日 22時31分00秒,臺東縣卑南鄉太平路583號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,121.079169,22.788124
876,108年01月02日 02時45分00秒,臺東縣臺東市青海路1段120號前0.0公尺,死亡0;受傷1,普通重型-機車,121.051303,22.758178
1133,108年01月02日 08時55分00秒,臺東縣臺東市正氣北路606號前0.0公尺南側,死亡0;受傷1,普通重型-機車;自用-小客車,121.130467,22.755570000000002
1171,108年01月02日 09時16分00秒,臺東縣臺東市太原路2段246號前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,121.12069299999999,22.752628
1338,108年01月02日 11時50分00秒,臺東縣臺東市更生路東側 / 臺東縣臺東市更生路,死亡0;受傷1,自用-小客車;普通重型-機車,121.14055900000001,22.763683
1399,108年01月02日 12時30分00秒,臺東縣臺東市正氣北路327號,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,121.135392,22.753592
1434,108年01月02日 13時01分00秒,臺東縣臺東市傳廣路東側 / 臺東縣臺東市漢口街南側,死亡0;受傷1,普通重型-機車;自用-小客車,121.14391699999999,22.762743
1570,108年01月02日 16時05分00秒,臺東縣成功鎮東17 3公里600.0公尺處南側向中線,死亡0;受傷1,自用-小客車;普通重型-機車,121.38541699999999,23.105149
1632,108年01月02日 17時00分00秒,臺東縣卑南鄉和平路258號前0.0公尺,死亡0;受傷1,普通重型-機車,121.09096100000001,22.786054
1633,108年01月02日 17時00分00秒,臺東縣臺東市吉林路2段543號,死亡0;受傷1,自用-小客車;普通重型-機車,121.18396000000001,22.789353
1749,108年01月02日 17時55分00秒,臺東縣臺東市桂林北路口 / 臺東縣臺東市長沙街口,死亡0;受傷1,自用-小客車;普通重型-機車,121.143872,22.748345
1767,108年01月02日 18時06分00秒,臺東縣臺東市台11線 173公里800.0公尺處南側向外側,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.071937,22.710625
2011,108年01月02日 21時17分00秒,臺東縣臺東市中華路1段口 / 臺東縣臺東市新生路口,死亡0;受傷1,普通重型-機車;自用-小客車,121.14998200000001,22.751088
2029,108年01月02日 21時40分00秒,臺東縣臺東市中正路398號,死亡0;受傷2,普通重型-機車;普通重型-機車,121.150319,22.758164999999998
2234,108年01月03日 07時44分00秒,臺東縣臺東市傳廣路482號前0.0公尺南側,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.144005,22.767479
2250,108年01月03日 07時50分00秒,臺東縣卑南鄉分岐電桿37號,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.102772,22.794759
2386,108年01月03日 09時05分00秒,臺東縣成功鎮三民里漢口街東側 / 臺東縣成功鎮三民里開封街南側,死亡0;受傷1,普通重型-機車;普通重型-機車,121.37628000000001,23.103801999999998
2515,108年01月03日 11時40分00秒,臺東縣臺東市豐榮路北側 / 臺東縣臺東市豐榮路,死亡0;受傷1,普通重型-機車;自用-小客車,121.137124,22.750385
2531,108年01月03日 11時53分00秒,臺東縣臺東市中興路三段東側 / 臺東縣臺東市中興路三段南側,死亡0;受傷1,普通重型-機車;自用-小客車,121.113009,22.770626
2537,108年01月03日 11時58分00秒,臺東縣池上鄉福原村11仁愛路通水巷路口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.220748,23.123158
2546,108年01月03日 12時10分00秒,臺東縣臺東市更生北路口 / 臺東縣臺東市南王西街口,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,121.112802,22.786212
2565,108年01月03日 12時25分00秒,臺東縣臺東市漢陽北路147號,死亡0;受傷1,普通重型-機車,121.13468999999999,22.746731
2571,108年01月03日 12時30分00秒,臺東縣臺東市四川路2段口 / 臺東縣臺東市四川路2段口,死亡0;受傷1,營業用-大貨車;普通重型-機車;自用-小客車,121.111636,22.740470000000002
2635,108年01月03日 13時52分53秒,臺東縣池上鄉台9線324.5公里與無名產業道路路口,死亡0;受傷1,自用-小客車;營業用-大貨車,121.202858,23.107787
2715,108年01月03日 15時35分00秒,臺東縣臺東市更生路337號前0.0公尺東側,死亡0;受傷2,普通重型-機車;普通重型-機車,121.143025,22.761807
2776,108年01月03日 16時44分00秒,臺東縣臺東市正氣北路382號前0.0公尺,死亡0;受傷1,普通輕型-機車,121.133878,22.753906
2964,108年01月03日 19時20分00秒,臺東縣臺東市台11線 156公里北側向外側,死亡0;受傷2,普通重型-機車;行人-人,121.19685,22.803307999999998
3059,108年01月03日 21時42分00秒,臺東縣臺東市桂林北路201號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,121.14445,22.752309
3113,108年01月03日 23時40分00秒,臺東縣臺東市更生路西側 / 臺東縣臺東市四維路,死亡0;受傷1,普通重型-機車,121.13863700000002,22.765504
3223,108年01月04日 07時35分00秒,臺東縣臺東市中華路南側 / 臺東縣臺東市馬亨亨大道,死亡0;受傷2,普通重型-機車;普通輕型-機車,121.159465,22.760628
