,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
64,108年01月11日 11時22分54秒,花蓮縣花蓮市民權路口 / 花蓮縣花蓮市民權八街口,死亡1;受傷0,普通重型-機車;自用-小客車,121.625749,23.987787
68,108年01月11日 23時39分01秒,花蓮縣壽豐鄉中華路二段(和榮橋北端),死亡1;受傷0,普通重型-機車,121.520318,23.880646
131,108年01月20日 14時05分00秒,花蓮縣秀林鄉台8線 167公里600.0公尺處東側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.488821,24.208908
135,108年01月21日 17時33分00秒,花蓮縣富里鄉81縣道1.4公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.227857,23.145266
181,108年01月28日 08時02分00秒,花蓮縣壽豐鄉志學村中山路3段口 / 花蓮縣壽豐鄉志學村中山路3段口,死亡1;受傷0,普通重型-機車;自用-小客車,121.530514,23.908852
183,108年01月28日 22時05分00秒,花蓮縣玉里鎮縣193線 103公里800.0公尺處南側,死亡1;受傷0,自用-小客車,121.352491,23.381853
313,108年02月24日 09時13分55秒,花蓮縣吉安鄉中央路一段與稻香路口以北150公尺處,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,121.567854,23.965723
412,108年03月17日 14時33分00秒,花蓮縣吉安鄉吉安路6段前0.0公尺,死亡1;受傷0,自用-小客車;乘客-人,121.524376,23.948522
423,108年03月19日 18時03分08秒,花蓮縣玉里鎮台30線 12公里300.0公尺處附近,死亡1;受傷0,普通重型-機車,121.306491,23.311535
489,108年04月02日 10時22分44秒,花蓮縣吉安鄉南濱路1段口 / 花蓮縣吉安鄉海岸路,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,121.591667,23.92709
540,108年04月13日 08時00分00秒,花蓮縣秀林鄉台9線 162公里500.0公尺處南側向內側,死亡1;受傷1,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車;乘客-人,121.740582,24.268073
