,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
82,108年01月01日 02時20分14秒,苗栗縣造橋鄉平仁路與文英街口,死亡0;受傷1,普通重型-機車,120.874122,24.648185
127,108年01月01日 05時57分02秒,苗栗縣銅鑼鄉國道1號 143公里南側向內側,死亡0;受傷2,自用-小客車;乘客-人;乘客-人,120.787908,24.461842
169,108年01月01日 07時30分32秒,苗栗縣竹南鎮崎頂里西濱公路86.8公里處北上慢車道附近,死亡0;受傷1,普通重型-機車,120.875031,24.728811999999998
258,108年01月01日 09時50分35秒,苗栗縣頭份市東興路、濱江街口,死亡0;受傷1,自用-小客車;普通重型-機車,120.912053,24.684248
328,108年01月01日 11時22分17秒,苗栗縣頭份市育樂街、東民三街口,死亡0;受傷1,自用-小客車;普通重型-機車,120.903469,24.688576
343,108年01月01日 11時40分07秒,苗栗縣大湖鄉台三線與苗55線口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.866351,24.397495000000003
355,108年01月01日 12時01分14秒,苗栗縣通霄鎮光復信義路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.693312,24.456946
418,108年01月01日 13時20分46秒,苗栗縣卓蘭鎮新厝里經國路102號前,死亡0;受傷1,自用-小客車;普通重型-機車,120.823355,24.313377
453,108年01月01日 14時01分20秒,苗栗縣竹南鎮福德路與大營路口,死亡0;受傷1,自用-小客車;自用-小客車;其他人-人,120.873145,24.682829
484,108年01月01日 14時35分09秒,苗栗縣竹南鎮聖福里龍天路與環市路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.87298700000001,24.691739000000002
504,108年01月01日 15時05分02秒,苗栗縣銅鑼鄉台13線39.5K處,死亡0;受傷1,普通重型-機車;計程車-小客車,120.78096599999999,24.485031
571,108年01月01日 16時36分00秒,苗栗縣苗栗市水源里中正路口 / 苗栗縣苗栗市水源里經國路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.81555800000001,24.537502
623,108年01月01日 17時45分00秒,苗栗縣通霄鎮城北里城北10號前,死亡0;受傷1,自用-小客車;行人-人,120.703699,24.471259
639,108年01月01日 18時00分43秒,苗栗縣公館鄉玉谷村玉谷114之11號旁,死亡0;受傷1,自用-小客車,120.823178,24.517073999999997
684,108年01月01日 18時41分00秒,苗栗縣苗栗市新苗里天雲街口 / 苗栗縣苗栗市新苗里中正路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.816627,24.552225
737,108年01月01日 19時42分00秒,苗栗縣頭份市德義路15巷口,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.89964499999999,24.691347
747,108年01月01日 20時00分24秒,苗栗縣通霄鎮台61線通灣聯絡道,死亡0;受傷2,自用-小客車;自用-小客車;乘客-人,120.67533600000002,24.491429999999998
797,108年01月01日 21時45分51秒,苗栗縣頭份市斗煥里中正二路232號,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,120.94728799999999,24.680284
888,108年01月02日 05時32分33秒,苗栗縣竹南鎮環市路一段與環市路二段路口,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.869184,24.681795
928,108年01月02日 07時07分25秒,苗栗縣通霄鎮梅南里梅南路上,死亡0;受傷1,普通重型-機車,120.69621599999999,24.471091
981,108年01月02日 07時40分31秒,苗栗縣竹南鎮大厝里大營路80號前,死亡0;受傷1,普通重型-機車;普通重型-機車,120.873255,24.683177
1015,108年01月02日 07時52分28秒,苗栗縣竹南鎮營盤裡大營路209號前,死亡0;受傷1,普通重型-機車;普通重型-機車,120.87244399999999,24.687746
1246,108年01月02日 10時27分13秒,苗栗縣通霄鎮自強路119號前,死亡0;受傷1,普通輕型-機車;普通重型-機車,120.68394199999999,24.490166000000002
1449,108年01月02日 13時25分20秒,苗栗縣大湖鄉明湖村下街18-8號,死亡0;受傷1,自用-小客車;普通重型-機車,120.87286200000001,24.398097
1492,108年01月02日 14時28分00秒,苗栗縣苗栗市建功里忠孝路22之1號,死亡0;受傷1,普通重型-機車;普通重型-機車,120.818726,24.564789
1506,108年01月02日 14時48分54秒,苗栗縣苑裡鎮世界路與建國路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.65503600000001,24.443292
1643,108年01月02日 17時05分00秒,苗栗縣銅鑼鄉台13線、銅科大橋,死亡0;受傷1,自用-小客車;普通重型-機車,120.771245,24.462385
1804,108年01月02日 18時23分10秒,苗栗縣造橋鄉豐湖村台13甲北上12.2公里處,死亡0;受傷1,普通重型-機車;自用-小客車,120.833275,24.609253
1828,108年01月02日 18時35分18秒,苗栗縣苗栗市民族路口 / 苗栗縣苗栗市北安街口,死亡0;受傷1,自用-小客車;普通重型-機車,120.816271,24.563882
1927,108年01月02日 19時46分00秒,苗栗縣公館鄉福基村41號前,死亡0;受傷2,自用-小客車;行人-人,120.83031399999999,24.472365
1930,108年01月02日 19時49分37秒,苗栗縣頭份市東興大橋上,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,120.90789699999999,24.680305999999998
1937,108年01月02日 19時52分54秒,苗栗縣頭份市中山路、和平路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.90803999999999,24.683813
2087,108年01月02日 22時45分00秒,苗栗縣頭份市信東路二段與建國路二段路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.903574,24.69656
2159,108年01月03日 06時23分00秒,苗栗縣苗栗市中正路、僑育街口,死亡0;受傷2,普通重型-機車;行人-人,120.818634,24.553886
2160,108年01月03日 06時25分00秒,苗栗縣頭份市建國路與力行街口,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.91226,24.694364
2302,108年01月03日 08時12分00秒,苗栗縣頭份市尚順路與和平路口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.90151399999999,24.686936
2314,108年01月03日 08時20分00秒,苗栗縣苗栗市玉清、復興路口,死亡0;受傷1,普通重型-機車,120.829526,24.562812
2330,108年01月03日 08時30分04秒,苗栗縣竹南鎮中華里環市路2段口 / 苗栗縣竹南鎮中華里環市路2段口,死亡0;受傷1,普通重型-機車;自用-小客車,120.86913500000001,24.685066
2340,108年01月03日 08時34分00秒,苗栗縣頭份市建國路與大同路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.913623,24.693659
2527,108年01月03日 11時49分11秒,苗栗縣苑裡鎮中山路116號前,死亡0;受傷2,普通重型-機車;電動自行車-慢車,120.65121200000002,24.441863
2536,108年01月03日 11時57分02秒,苗栗縣竹南鎮大同街與新生路口,死亡0;受傷1,普通重型-機車;自用-小客車;乘客-人,120.867294,24.68431
2547,108年01月03日 12時10分00秒,苗栗縣苗栗市聯大路附近 / 苗栗縣苗栗市台13線,死亡0;受傷1,普通重型-機車,120.812091,24.546831
