,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
2674,108年01月03日 14時44分00秒,連江縣南竿鄉酒廠圓環,死亡0;受傷1,自用-小客車;普通重型-機車,119.95183899999999,26.160923
11809,108年01月12日 17時20分00秒,連江縣南竿鄉清水村清水村84之5號附近,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,119.939528,26.147934
16445,108年01月17日 10時20分39秒,連江縣南竿鄉山隴統一便利超商前路段,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,119.951936,26.156188
61070,108年03月06日 13時40分00秒,連江縣南竿鄉清水村100號前,死亡0;受傷1,自用-小客車;普通重型-機車,119.93759299999999,26.15299
69978,108年03月16日 11時20分09秒,連江縣南竿鄉中央大道梅石加油站前道路,死亡0;受傷2,普通重型-機車;普通重型-機車,119.941705,26.14753
79526,108年03月27日 09時23分00秒,連江縣南竿鄉復國路段,死亡0;受傷1,普通重型-機車,119.94454499999999,26.160472
88755,108年04月06日 16時30分00秒,連江縣南竿鄉津沙村入口三叉口,死亡0;受傷1,普通重型-機車;乘客-人,119.913922,26.147414
96153,108年04月14日 14時40分00秒,連江縣南竿鄉中央大道中興嶺(軍方忠貞一職務宿舍前)路段,死亡0;受傷1,普通重型-機車,119.927722,26.146932
97655,108年04月16日 08時15分02秒,連江縣南竿鄉福沃路與中央大道交叉路口,死亡0;受傷1,普通重型-機車;自用-小客車,119.94600600000001,26.158309
98019,108年04月16日 14時54分00秒,連江縣南竿鄉福沃村福沃路(華光大帝廟前),死亡0;受傷1,普通重型-機車;自用-小客車,119.94479,26.157232
102002,108年04月20日 17時15分00秒,連江縣南竿鄉馬祖村103-2號(雲津客棧)前,死亡0;受傷1,普通重型-機車,119.918254,26.162306
102026,108年04月20日 17時30分00秒,連江縣東引鄉東湧運動公園出入口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.49226599999999,26.368098
102538,108年04月21日 13時30分00秒,連江縣莒光鄉大坪村復興路往47哨爬坡處,死亡0;受傷2,普通重型-機車;乘客-人,119.97233,25.960478
106195,108年04月25日 14時30分57秒,連江縣南竿鄉中興嶺路段(近貞忠職員宿舍),死亡0;受傷1,普通重型-機車,119.93155300000001,26.146907000000002
114155,108年05月04日 12時07分01秒,連江縣南竿鄉中興嶺,死亡0;受傷1,普通重型-機車;乘客-人,119.928063,26.146938000000002
121638,108年05月12日 18時09分22秒,連江縣南竿鄉津沙村津沙路段,死亡0;受傷2,普通重型-機車;乘客-人,119.916896,26.146148999999998
127787,108年05月19日 14時02分44秒,連江縣南竿鄉介壽村216號前,死亡0;受傷1,自用-小客車;行人-人,119.95194099999999,26.155442
131127,108年05月23日 13時28分00秒,連江縣莒光鄉大坪村中興路加油站前岔路,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,119.97315800000001,25.954672
131784,108年05月24日 09時53分43秒,連江縣南竿鄉福沃村110-1號,死亡0;受傷1,遊覽車-大客車;普通重型-機車,119.94442099999999,26.156325
136979,108年05月30日 09時20分53秒,連江縣南竿鄉津沙路段近津沙茶園,死亡0;受傷2,普通重型-機車;乘客-人,119.91320900000001,26.146136
138623,108年05月31日 22時13分21秒,連江縣南竿鄉津板路沐光民宿前路段,死亡0;受傷1,普通重型-機車,119.912881,26.145498999999997
144342,108年06月06日 18時59分00秒,連江縣北竿鄉橋仔村12號前,死亡0;受傷2,普通重型-機車;乘客-人,119.99852800000001,26.229246000000003
148532,108年06月11日 18時00分00秒,連江縣北竿鄉環島東路、環島北路口往橋仔村下坡約15公尺處,死亡0;受傷1,普通重型-機車;自用-小客車,119.995106,26.234098
166877,108年07月01日 14時20分02秒,連江縣南竿鄉清水路84-5號(承鮮捷上方50公尺處),死亡0;受傷1,自用-小客車;普通重型-機車,119.940022,26.14622
