,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
20,108年01月01日 00時35分00秒,雲林縣古坑鄉光華路390271號(高速公路上方),死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.55956299999998,23.61897
29,108年01月01日 00時50分00秒,雲林縣古坑鄉台三線柴裡橋上,死亡0;受傷1,自用-小客車;警備車-特種車;乘客-人,120.53938500000001,23.663321
32,108年01月01日 00時50分14秒,雲林縣古坑鄉永光村光興路92號,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,120.54977199999999,23.625767
54,108年01月01日 01時30分00秒,雲林縣古坑鄉光華路390577燈桿處,死亡0;受傷1,普通重型-機車;自用-小客車,120.56194599999999,23.616773000000002
124,108年01月01日 05時50分00秒,雲林縣古坑鄉永光村光興路附近 / 雲林縣古坑鄉永光村與光華路口附近,死亡0;受傷1,營業用-大貨車;自用-小客車,120.558604,23.619854
190,108年01月01日 08時00分00秒,雲林縣麥寮鄉後安村雲3線,死亡0;受傷1,自用-小客車,120.228936,23.774085
236,108年01月01日 09時06分30秒,雲林縣古坑鄉新庄村新庄路100之1號,死亡0;受傷2,普通重型-機車;電動自行車-慢車,120.58542299999999,23.69013
253,108年01月01日 09時32分49秒,雲林縣斗六市雲林路口 / 雲林縣斗六市保長路,死亡0;受傷2,普通重型-機車;電動自行車-慢車,120.534375,23.705145
280,108年01月01日 10時25分00秒,雲林縣虎尾鎮新吉里工專一街芳安27電桿前,死亡0;受傷1,計程車-小客車;普通重型-機車,120.416692,23.699921
391,108年01月01日 12時43分00秒,雲林縣斗六市西平路口 / 雲林縣斗六市文生路口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.526981,23.719759
423,108年01月01日 13時25分00秒,雲林縣西螺鎮新豐里福來路口 / 雲林縣西螺鎮新豐里市場南路,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.44598899999998,23.781670000000002
488,108年01月01日 14時47分00秒,雲林縣西螺鎮新安里3鄰振安路與西興南路口,死亡0;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.458127,23.787689999999998
554,108年01月01日 16時00分16秒,雲林縣斗六市雲林路三段75號,死亡0;受傷2,普通重型-機車;普通重型-機車,120.51913200000001,23.69559
612,108年01月01日 17時30分00秒,雲林縣斗六市大學路1段口 / 雲林縣斗六市成功路口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.55372,23.703054
698,108年01月01日 18時56分53秒,雲林縣斗六市大學路三段123號,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.534143,23.696104000000002
709,108年01月01日 19時10分00秒,雲林縣斗六市明德物與南揚街,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人,120.53811599999999,23.698339999999998
751,108年01月01日 20時06分06秒,雲林縣褒忠鄉中民村中民路褒忠橋上,死亡0;受傷1,自用-小客車;普通重型-機車,120.311596,23.689186
805,108年01月01日 21時54分00秒,雲林縣虎尾鎮中正路與華南路口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.435883,23.709152
819,108年01月01日 22時20分00秒,雲林縣斗南鎮大同路446號前,死亡0;受傷1,普通重型-機車;自用-小客車,120.471197,23.686219
830,108年01月01日 22時30分00秒,雲林縣西螺鎮光華里延平路建興路,死亡0;受傷1,普通重型-機車;自用-小客車,120.459221,23.80106
952,108年01月02日 07時22分00秒,雲林縣虎尾鎮興南路294553燈桿旁路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.452676,23.690755
1045,108年01月02日 08時04分00秒,雲林縣斗六市雲林路口 / 雲林縣斗六市明德路口,死亡0;受傷1,普通重型-機車;其他人-人,120.529151,23.701609
1137,108年01月02日 08時58分00秒,雲林縣麥寮鄉麥津村華興路57號,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.25110500000001,23.74904
1150,108年01月02日 09時03分04秒,雲林縣虎尾鎮三合里三合枝左十五 三八~一電桿前,死亡0;受傷1,自用-小客車;自用-小客車,120.40766200000002,23.693438
1225,108年01月02日 10時05分34秒,雲林縣東勢鄉台西4北6東號電桿前,死亡0;受傷1,普通重型-機車,120.25103899999999,23.68512
1235,108年01月02日 10時15分00秒,雲林縣斗南鎮延平路二段與南昌西路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.476105,23.672985
1236,108年01月02日 10時15分49秒,雲林縣虎尾鎮八德街42號前,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,120.428151,23.701708
1253,108年01月02日 10時36分49秒,雲林縣口湖鄉湖口村產業道路北側 / 雲林縣口湖鄉湖口村產業道路東側,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.15638500000001,23.5278
1264,108年01月02日 10時49分49秒,雲林縣斗六市重光路33號前,死亡0;受傷1,普通重型-機車,120.566969,23.693254999999997
1324,108年01月02日 11時38分46秒,雲林縣麥寮鄉麥津村新興路56號西側,死亡0;受傷1,自用-小客車;普通重型-機車,120.252728,23.747816
1345,108年01月02日 11時50分41秒,雲林縣口湖鄉口湖鄉產業道路交叉路口〈路燈編號074620附近〉,死亡0;受傷3,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人;乘客-人,120.163086,23.617832999999997
1445,108年01月02日 13時20分48秒,雲林縣西螺鎮新豐里市場北路418號附近,死亡0;受傷1,動力機械-其他車,120.44533200000001,23.784601000000002
1462,108年01月02日 13時45分00秒,雲林縣西螺鎮新安里市場北路振西13A K2962BE69號電桿處,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.452725,23.784755999999998
1477,108年01月02日 14時00分55秒,雲林縣斗六市和平路與八德路口,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,120.528622,23.692394
1571,108年01月02日 16時05分00秒,雲林縣虎尾鎮林森路二段與工專路口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.425622,23.700317000000002
1606,108年01月02日 16時34分30秒,雲林縣虎尾鎮中華路口 / 雲林縣虎尾鎮三民路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.438985,23.711111
1680,108年01月02日 17時25分27秒,雲林縣麥寮鄉新吉村新吉路50號前0.0公尺,死亡0;受傷1,普通重型-機車,120.256266,23.748531
1686,108年01月02日 17時30分00秒,雲林縣土庫鎮建國路104號前0.0公尺口,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,120.394803,23.679176000000002
1743,108年01月02日 17時54分00秒,雲林縣虎尾鎮西安里五間厝33之8號旁路口,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.429275,23.697864000000003
1760,108年01月02日 18時02分49秒,雲林縣斗六市萬年路與雲科路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.553202,23.733052
1768,108年01月02日 18時08分00秒,雲林縣西螺鎮九隆里15之2號前,死亡0;受傷2,普通重型-機車;普通重型-機車,120.432882,23.74918
1807,108年01月02日 18時26分00秒,雲林縣虎尾鎮下南22之5號附近,死亡0;受傷1,普通重型-機車,120.40853600000001,23.681393
1854,108年01月02日 18時55分00秒,雲林縣西螺鎮新豐里福來路29號,死亡0;受傷1,自用-大貨車;普通重型-機車,120.44566,23.78138
1986,108年01月02日 20時48分00秒,雲林縣斗六市中山路與中堅西路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.53813000000001,23.69998
2070,108年01月02日 22時23分00秒,雲林縣土庫鎮越港里建國路7-1號,死亡0;受傷1,租賃車-小客車;普通重型-機車,120.40243799999999,23.680056
2102,108年01月02日 23時11分00秒,雲林縣斗六市中山路福懋加油站,死亡0;受傷1,普通重型-機車,120.53911699999999,23.703727
2183,108年01月03日 07時05分58秒,雲林縣臺西鄉雲3道路,死亡0;受傷2,普通重型-機車;普通重型-機車,120.212387,23.727079
2191,108年01月03日 07時15分00秒,雲林縣麥寮鄉中興村外東環路口 / 雲林縣麥寮鄉中興村工業路口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.215901,23.795401000000002
