,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
0,108年01月01日 01時28分00秒,高雄市岡山區成功路台上351路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.301278,22.814121
7,108年01月02日 08時23分00秒,高雄市大寮區里鳳屏二路 / 高雄市大寮區江山路,死亡1;受傷0,自用-小客車;普通重型-機車,120.404899,22.642779
15,108年01月03日 16時48分00秒,高雄市大樹區三和路45號前0.0公尺,死亡1;受傷0,普通重型-機車,120.436587,22.720617
26,108年01月05日 04時33分00秒,高雄市左營區自由四路27號前0.0公尺前,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,120.313541,22.680332
31,108年01月06日 03時49分00秒,高雄市小港區大業南路54號前0.0公尺,死亡1;受傷0,普通重型-機車,120.3695,22.53465
33,108年01月06日 15時03分00秒,高雄市鳥松區中正路293號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.3643,22.65963
42,108年01月08日 07時00分00秒,高雄市橋頭區成功路12號前0.0公尺,死亡1;受傷0,普通重型-機車,120.309181,22.761359
46,108年01月09日 06時03分00秒,高雄市仁武區鳳仁路263號前0.0公尺,死亡1;受傷1,自用-小客車;營業用-曳引車;乘客-人,120.345655,22.700179
53,108年01月10日 04時13分00秒,高雄市大寮區188縣道萬大橋上橋號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.429474,22.59228
55,108年01月10日 12時55分00秒,高雄市旗山區廣清路14-1號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.5098,22.86255
57,108年01月10日 17時10分00秒,高雄市鳳山區善政街 / 高雄市鳳山區善志街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.337079,22.60267
70,108年01月12日 01時07分00秒,高雄市前鎮區瑞隆路 / 高雄市前鎮區永豐路,死亡1;受傷0,自用-小客車;行人-人,120.333588,22.605671
84,108年01月13日 17時34分00秒,高雄市仁武區澄觀路2段 / 高雄市仁武區澄觀路2段,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.3642,22.71203
93,108年01月14日 21時33分00秒,高雄市楠梓區大學十街 / 高雄市楠梓區高雄大學路,死亡1;受傷1,自用-小客車;普通重型-機車,120.28528,22.725537
103,108年01月16日 13時20分00秒,高雄市仁武區澄觀路1段文武0974燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.359262,22.698507
112,108年01月17日 18時06分00秒,高雄市橋頭區村南溝路2段仕和039電桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.30487,22.750168
128,108年01月20日 04時27分00秒,高雄市左營區民族一路928之1號前0.0公尺前,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.317481,22.67201
137,108年01月21日 20時36分00秒,高雄市三民區民族一路58號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車,120.314493,22.641737
156,108年01月24日 17時17分00秒,高雄市彌陀區光和路2-5號前0.0公尺前,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,120.245678,22.783876
189,108年01月29日 23時40分00秒,高雄市三民區博愛一路271號前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車;自用-小客車;普通重型-機車,120.3032,22.64823
198,108年01月31日 14時40分00秒,高雄市美濃區中興路1段前 / 高雄市美濃區中興路1段,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.5541,22.88178
199,108年02月01日 00時49分00秒,高雄市仁武區高楠公路28號前0.0公尺,死亡1;受傷0,普通重型-機車,120.322254,22.692436
207,108年02月02日 06時16分00秒,高雄市鳳山區過埤路 / 高雄市鳳山區過勇路,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.36289,22.58997
211,108年02月02日 20時56分00秒,高雄市橋頭區仕隆南路 / 高雄市橋頭區成功南路,死亡1;受傷1,大型重型2(250-550C.C.)-機車;行人-人,120.312955,22.752182
217,108年02月05日 00時49分00秒,高雄市鳳山區鳳仁路184號前0.0公尺,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.371765,22.637013
227,108年02月07日 13時43分00秒,高雄市大寮區前庄路 / 高雄市大寮區國華街,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.399248,22.620039
230,108年02月07日 23時15分00秒,高雄市旗山區台28省道馬頭幹28號前0.0公尺,死亡1;受傷0,自用-小客車,120.4697,22.88581
246,108年02月11日 09時58分00秒,高雄市大樹區無名路前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.414521,22.684428
261,108年02月13日 19時12分00秒,高雄市左營區翠華路 / 高雄市左營區新庄仔路,死亡1;受傷0,自用-小客車;腳踏自行車-慢車;普通重型-機車,120.297619,22.678651
280,108年02月17日 05時52分00秒,高雄市橋頭區隆豐路白樹243燈號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.305189,22.757277
286,108年02月18日 17時16分00秒,高雄市小港區沿海三路0號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.368298,22.526675
287,108年02月18日 18時47分00秒,高雄市茄萣區東方路1段前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.2146,22.87626
288,108年02月18日 21時13分00秒,高雄市岡山區岡山路 / 高雄市岡山區嘉新西路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.29231,22.801654
300,108年02月21日 09時23分00秒,高雄市大寮區中正路近文化路號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.387583,22.618481
301,108年02月21日 10時18分00秒,高雄市鳳山區博愛路239號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.369971,22.629392
306,108年02月22日 11時53分00秒,高雄市阿蓮區仁愛路崗山381路燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.3347,22.86262
